num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/prey_policy/num_agent_steps_trained,info/learner/prey_policy/num_grad_updates_lifetime,info/learner/prey_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/predator_policy/num_agent_steps_trained,info/learner/predator_policy/num_grad_updates_lifetime,info/learner/predator_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/prey_policy/learner_stats/allreduce_latency,info/learner/prey_policy/learner_stats/grad_gnorm,info/learner/prey_policy/learner_stats/cur_kl_coeff,info/learner/prey_policy/learner_stats/cur_lr,info/learner/prey_policy/learner_stats/total_loss,info/learner/prey_policy/learner_stats/policy_loss,info/learner/prey_policy/learner_stats/vf_loss,info/learner/prey_policy/learner_stats/vf_explained_var,info/learner/prey_policy/learner_stats/kl,info/learner/prey_policy/learner_stats/entropy,info/learner/prey_policy/learner_stats/entropy_coeff,info/learner/predator_policy/learner_stats/allreduce_latency,info/learner/predator_policy/learner_stats/grad_gnorm,info/learner/predator_policy/learner_stats/cur_kl_coeff,info/learner/predator_policy/learner_stats/cur_lr,info/learner/predator_policy/learner_stats/total_loss,info/learner/predator_policy/learner_stats/policy_loss,info/learner/predator_policy/learner_stats/vf_loss,info/learner/predator_policy/learner_stats/vf_explained_var,info/learner/predator_policy/learner_stats/kl,info/learner/predator_policy/learner_stats/entropy,info/learner/predator_policy/learner_stats/entropy_coeff
9,0,0,16000,16000,4000,4000,4000,4000,67.19215297390895,67.19215297390895,4000,4000,16000,4000,16000,False,1,42d11_00000,2024-08-22_10-11-47,1724301707,59.6135790348053,59.6135790348053,75262,Joys-MacBook-Pro.local,127.0.0.1,59.6135790348053,1,4000,4000,16000,16000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,59530.769,0.027,59530.704,4923.968,54587.896,73.276,14.56,4000,4000,16000,16000,38.37674418604651,83.41744186046512,[],[],126.98412698412699,945.5,944.5,126.98412698412699,945.5,944.5,0.0,1.420429910065005,0.2,0.00010000000000000003,7.4933536047657965,-0.018872267936994494,7.5103522989485,0.038833088944197965,0.00936782683994838,1.602248367367598,0.0,0.0,1.1847972547329924,0.2,0.00010000000000000003,6.1235253064089985,-0.015788682339535582,6.137617583249612,0.03461070281487924,0.00848199775363639,1.6035183024784876,0.0
9,0,0,32000,32000,8000,8000,4000,4000,70.69105041250691,70.69105041250691,8000,8000,32000,4000,32000,False,2,42d11_00000,2024-08-22_10-12-46,1724301766,56.64615178108215,116.25973081588745,75262,Joys-MacBook-Pro.local,127.0.0.1,116.25973081588745,2,8000,8000,32000,32000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,58057.513,0.022,58057.451,3889.135,54149.074,73.87,14.068,8000,8000,32000,32000,34.11904761904762,83.34523809523809,[],[],126.98412698412699,2835.5,944.5,126.98412698412699,2835.5,944.5,0.0,2.9850671977593155,0.2,0.00010000000000000003,6.253848385936999,-0.02440330120192831,6.275493036754548,0.1555214242329673,0.013793243940737315,1.5845141485885337,0.0,0.0,1.7278851124660048,0.2,0.00010000000000000003,4.0404601031510285,-0.02080368940772676,4.0594542996593255,0.09348934037344796,0.00904746264824151,1.5919239061219352,0.0
9,0,0,48000,48000,12000,12000,4000,4000,70.86173462925727,70.86173462925727,12000,12000,48000,4000,48000,False,3,42d11_00000,2024-08-22_10-13-43,1724301823,56.507298946380615,172.76702976226807,75262,Joys-MacBook-Pro.local,127.0.0.1,172.76702976226807,3,12000,12000,48000,48000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,57520.996,0.02,57520.929,3528.124,53971.277,74.113,16.772,12000,12000,48000,48000,34.1175,83.305,[],[],126.98412698412699,4725.5,944.5,126.98412698412699,4725.5,944.5,0.0,3.551506335962386,0.2,0.00010000000000000003,5.803948314858492,-0.027376170708581057,5.828842148705134,0.2234728427791091,0.012411687935939029,1.5729137124207915,0.0,0.0,1.3758062330976366,0.2,0.00010000000000000003,2.407711895180758,-0.019977601103129843,2.4259622892374715,0.10650075639366473,0.008636030246240023,1.585293627289868,0.0
9,0,0,64000,64000,16000,16000,4000,4000,67.37131218042182,67.37131218042182,16000,16000,64000,4000,64000,False,4,42d11_00000,2024-08-22_10-14-42,1724301882,59.41807794570923,232.1851077079773,75262,Joys-MacBook-Pro.local,127.0.0.1,232.1851077079773,4,16000,16000,64000,64000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,57983.862,0.018,57983.797,3250.414,54710.086,73.113,15.908,16000,16000,64000,64000,45.345882352941175,83.42470588235294,[],[],126.98412698412699,6615.5,944.5,126.98412698412699,6615.5,944.5,0.0,4.019713652197015,0.2,0.00010000000000000003,6.875866694677444,-0.02241201221391007,6.896212429218191,0.24924119102261053,0.010331252241191803,1.5595941348050637,0.0,0.0,2.472815508186502,0.2,0.00010000000000000003,2.5906562745886506,-0.019981526766248325,2.6087445664658118,0.1111039312743636,0.009466159605746349,1.575801379466183,0.0
9,0,0,80000,80000,20000,20000,4000,4000,60.61492871014552,60.61492871014552,20000,20000,80000,4000,80000,False,5,42d11_00000,2024-08-22_10-15-48,1724301948,66.04653525352478,298.2316429615021,75262,Joys-MacBook-Pro.local,127.0.0.1,298.2316429615021,5,20000,20000,80000,80000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,59585.16,0.018,59585.098,3609.928,55953.302,71.488,15.373,20000,20000,80000,80000,51.58494623655915,83.352688172043,[],[],126.98412698412699,8505.5,944.5,126.98412698412699,8505.5,944.5,0.0,4.863351241968296,0.2,0.00010000000000000003,7.188434556426195,-0.019993417550410543,7.20645882187697,0.2946280834536073,0.009845701768555771,1.5491046028162436,0.0,0.0,2.903943438441665,0.2,0.00010000000000000003,2.483708633253814,-0.016606428655771114,2.498269019429646,0.14496299870430476,0.010230200836021039,1.566876236597697,0.0
9,0,0,96000,96000,24000,24000,4000,4000,70.46907826666259,70.46907826666259,24000,24000,96000,4000,96000,False,6,42d11_00000,2024-08-22_10-16-45,1724302005,56.808562994003296,355.04020595550537,75262,Joys-MacBook-Pro.local,127.0.0.1,355.04020595550537,6,24000,24000,96000,96000,443.5999999999996,308.5000000000004,386.60316466337207,400.0,1600,0,4,443.5999999999996,308.5000000000004,386.60316466337207,4,59114.715,0.017,59114.657,3598.459,55495.053,72.078,15.187,24000,24000,96000,96000,37.150617283950616,82.62222222222222,"[443.5999999999996, 403.6126586534885, 308.5000000000004, 390.6999999999998]","[400, 400, 400, 400]",126.98412698412699,10395.5,944.5,126.98412698412699,10395.5,944.5,0.0,6.746850161199217,0.2,0.00010000000000000003,7.224496056036974,-0.018290648048635196,7.240519201440155,0.3306969391605841,0.011337521955218146,1.5442940409221346,0.0,0.0,3.516170933101543,0.2,0.00010000000000000003,2.50279804077098,-0.02255392321176019,2.5230832870044404,0.1323599152779453,0.01134333550663931,1.5530816360756203,0.0
9,0,0,112000,112000,28000,28000,4000,4000,73.213872134703,73.213872134703,28000,28000,112000,4000,112000,False,7,42d11_00000,2024-08-22_10-17-40,1724302060,54.66729998588562,409.707505941391,75262,Joys-MacBook-Pro.local,127.0.0.1,409.707505941391,7,28000,28000,112000,112000,674.564741912714,57.60000000000057,367.36296268715455,400.0,19600,0,45,674.564741912714,57.60000000000057,367.36296268715455,45,58474.679,0.016,58474.615,3419.358,55034.184,72.682,15.399,28000,28000,112000,112000,31.720512820512813,82.71410256410256,"[443.5999999999996, 403.6126586534885, 308.5000000000004, 390.6999999999998, 333.0000000000008, 157.99999999999918, 475.19999999999914, 557.1000000000004, 212.4421500994732, 486.2566153506149, 245.99999999999926, 438.6, 522.3126343751014, 207.2999999999991, 674.564741912714, 387.89743510361706, 57.60000000000057, 395.2000000000018, 652.2209668045394, 353.2000000000013, 401.2718892821257, 277.8640674847281, 396.70000000000005, 494.69397010590694, 518.0999999999999, 269.02603614569955, 622.3000000000004, 476.8404824180572, 281.91884819218365, 393.30731209688736, 311.63634307194155, 473.2595778603908, 176.37177752656265, 164.49999999999974, 403.18517532440245, 72.69870652539684, 446.9000000000011, 379.90000000000214, 584.1999999999995, 338.7000000000003, 254.60000000000005, 554.5999999999999, 280.7999999999993, 225.69999999999936, 269.6037833367415, 233.69999999999948, 231.59999999999954, 241.69999999999933, 521.8000000000001]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,12285.5,944.5,126.98412698412699,12285.5,944.5,0.0,7.82228256498695,0.2,0.00010000000000000003,7.379408018929618,-0.021036490095316104,7.3981321980713535,0.292615526819986,0.011561561107300418,1.5144921301533936,0.0,0.0,3.2308170749081504,0.2,0.00010000000000000003,3.102475698915108,-0.02246594981502288,3.122222227457339,0.15262616793945352,0.013597161391572583,1.5207244933597626,0.0
9,0,0,128000,128000,32000,32000,4000,4000,71.13381680584384,71.13381680584384,32000,32000,128000,4000,128000,False,8,42d11_00000,2024-08-22_10-18-36,1724302116,56.266465187072754,465.97397112846375,75262,Joys-MacBook-Pro.local,127.0.0.1,465.97397112846375,8,32000,32000,128000,128000,674.564741912714,57.60000000000057,362.307050014226,400.0,28400,0,22,674.564741912714,57.60000000000057,362.307050014226,22,58194.351,0.016,58194.285,3290.944,54882.562,72.883,15.45,32000,32000,128000,128000,36.30625,82.98625,"[443.5999999999996, 403.6126586534885, 308.5000000000004, 390.6999999999998, 333.0000000000008, 157.99999999999918, 475.19999999999914, 557.1000000000004, 212.4421500994732, 486.2566153506149, 245.99999999999926, 438.6, 522.3126343751014, 207.2999999999991, 674.564741912714, 387.89743510361706, 57.60000000000057, 395.2000000000018, 652.2209668045394, 353.2000000000013, 401.2718892821257, 277.8640674847281, 396.70000000000005, 494.69397010590694, 518.0999999999999, 269.02603614569955, 622.3000000000004, 476.8404824180572, 281.91884819218365, 393.30731209688736, 311.63634307194155, 473.2595778603908, 176.37177752656265, 164.49999999999974, 403.18517532440245, 72.69870652539684, 446.9000000000011, 379.90000000000214, 584.1999999999995, 338.7000000000003, 254.60000000000005, 554.5999999999999, 280.7999999999993, 225.69999999999936, 269.6037833367415, 233.69999999999948, 231.59999999999954, 241.69999999999933, 521.8000000000001, 268.01475958559956, 429.08184118969916, 177.68339120247032, 240.16487258553735, 207.98070136546247, 435.19999999999976, 123.00000000000011, 539.0999999999992, 530.7594465988795, 352.4000000000001, 366.190127715309, 458.9000000000017, 419.1000000000001, 220.50000000000014, 430.35682696063867, 258.3999999999999, 297.68685884446455, 444.42110535077853, 307.9317644977694, 506.7999999999995, 440.24368344286137, 269.0999999999973]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,14175.5,944.5,126.98412698412699,14175.5,944.5,0.0,8.862422602328044,0.2,0.00010000000000000003,7.287413022883985,-0.02828839899548305,7.312288326182693,0.3352814722628821,0.01706543002849218,1.4307371153402582,0.0,0.0,4.414009663099965,0.2,0.00010000000000000003,4.869851418651601,-0.025046088624617487,4.89137819153922,0.19657455663832407,0.017596577589582434,1.4459101654234388,0.0
9,0,0,144000,144000,36000,36000,4000,4000,72.6400253657071,72.6400253657071,36000,36000,144000,4000,144000,False,9,42d11_00000,2024-08-22_10-19-31,1724302171,55.10893797874451,521.0829091072083,75262,Joys-MacBook-Pro.local,127.0.0.1,521.0829091072083,9,36000,36000,144000,144000,674.564741912714,57.60000000000057,362.307050014226,400.0,28400,0,0,674.564741912714,57.60000000000057,362.307050014226,0,57846.763,0.016,57846.7,3244.443,54582.239,73.284,14.934,36000,36000,144000,144000,33.35,82.65769230769229,"[443.5999999999996, 403.6126586534885, 308.5000000000004, 390.6999999999998, 333.0000000000008, 157.99999999999918, 475.19999999999914, 557.1000000000004, 212.4421500994732, 486.2566153506149, 245.99999999999926, 438.6, 522.3126343751014, 207.2999999999991, 674.564741912714, 387.89743510361706, 57.60000000000057, 395.2000000000018, 652.2209668045394, 353.2000000000013, 401.2718892821257, 277.8640674847281, 396.70000000000005, 494.69397010590694, 518.0999999999999, 269.02603614569955, 622.3000000000004, 476.8404824180572, 281.91884819218365, 393.30731209688736, 311.63634307194155, 473.2595778603908, 176.37177752656265, 164.49999999999974, 403.18517532440245, 72.69870652539684, 446.9000000000011, 379.90000000000214, 584.1999999999995, 338.7000000000003, 254.60000000000005, 554.5999999999999, 280.7999999999993, 225.69999999999936, 269.6037833367415, 233.69999999999948, 231.59999999999954, 241.69999999999933, 521.8000000000001, 268.01475958559956, 429.08184118969916, 177.68339120247032, 240.16487258553735, 207.98070136546247, 435.19999999999976, 123.00000000000011, 539.0999999999992, 530.7594465988795, 352.4000000000001, 366.190127715309, 458.9000000000017, 419.1000000000001, 220.50000000000014, 430.35682696063867, 258.3999999999999, 297.68685884446455, 444.42110535077853, 307.9317644977694, 506.7999999999995, 440.24368344286137, 269.0999999999973]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,16065.5,944.5,126.98412698412699,16065.5,944.5,0.0,9.543088613489948,0.2,0.00010000000000000003,7.376000190916516,-0.02624804792634985,7.399398176001493,0.23114312694816994,0.014250327426959914,1.4405814901861564,0.0,0.0,5.086279797995532,0.2,0.00010000000000000003,4.673719128477511,-0.02572177559058502,4.695904086254261,0.19287284227906082,0.017684048365693164,1.4256590794003199,0.0
9,0,0,160000,160000,40000,40000,4000,4000,75.16170433549233,75.16170433549233,40000,40000,160000,4000,160000,False,10,42d11_00000,2024-08-22_10-20-24,1724302224,53.25312519073486,574.3360342979431,75262,Joys-MacBook-Pro.local,127.0.0.1,574.3360342979431,10,40000,40000,160000,160000,674.564741912714,57.60000000000057,362.307050014226,400.0,28400,0,0,674.564741912714,57.60000000000057,362.307050014226,0,57383.947,0.016,57383.886,3156.993,54207.368,73.791,14.564,40000,40000,160000,160000,27.911842105263162,82.48157894736842,"[443.5999999999996, 403.6126586534885, 308.5000000000004, 390.6999999999998, 333.0000000000008, 157.99999999999918, 475.19999999999914, 557.1000000000004, 212.4421500994732, 486.2566153506149, 245.99999999999926, 438.6, 522.3126343751014, 207.2999999999991, 674.564741912714, 387.89743510361706, 57.60000000000057, 395.2000000000018, 652.2209668045394, 353.2000000000013, 401.2718892821257, 277.8640674847281, 396.70000000000005, 494.69397010590694, 518.0999999999999, 269.02603614569955, 622.3000000000004, 476.8404824180572, 281.91884819218365, 393.30731209688736, 311.63634307194155, 473.2595778603908, 176.37177752656265, 164.49999999999974, 403.18517532440245, 72.69870652539684, 446.9000000000011, 379.90000000000214, 584.1999999999995, 338.7000000000003, 254.60000000000005, 554.5999999999999, 280.7999999999993, 225.69999999999936, 269.6037833367415, 233.69999999999948, 231.59999999999954, 241.69999999999933, 521.8000000000001, 268.01475958559956, 429.08184118969916, 177.68339120247032, 240.16487258553735, 207.98070136546247, 435.19999999999976, 123.00000000000011, 539.0999999999992, 530.7594465988795, 352.4000000000001, 366.190127715309, 458.9000000000017, 419.1000000000001, 220.50000000000014, 430.35682696063867, 258.3999999999999, 297.68685884446455, 444.42110535077853, 307.9317644977694, 506.7999999999995, 440.24368344286137, 269.0999999999973]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,17955.5,944.5,126.98412698412699,17955.5,944.5,0.0,11.310931629920132,0.2,0.00010000000000000003,7.62058423637713,-0.025821668684246048,7.6434910055190795,0.25160958161429753,0.014574502145861664,1.4601119057842034,0.0,0.0,5.497102851842446,0.2,0.00010000000000000003,4.397391326213009,-0.0249519236483759,4.419104787533876,0.20054868532236292,0.016192318026774694,1.4340242218088222,0.0
