num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/predator_policy/num_agent_steps_trained,info/learner/predator_policy/num_grad_updates_lifetime,info/learner/predator_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/prey_policy/num_agent_steps_trained,info/learner/prey_policy/num_grad_updates_lifetime,info/learner/prey_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/predator_policy/learner_stats/allreduce_latency,info/learner/predator_policy/learner_stats/grad_gnorm,info/learner/predator_policy/learner_stats/cur_kl_coeff,info/learner/predator_policy/learner_stats/cur_lr,info/learner/predator_policy/learner_stats/total_loss,info/learner/predator_policy/learner_stats/policy_loss,info/learner/predator_policy/learner_stats/vf_loss,info/learner/predator_policy/learner_stats/vf_explained_var,info/learner/predator_policy/learner_stats/kl,info/learner/predator_policy/learner_stats/entropy,info/learner/predator_policy/learner_stats/entropy_coeff,info/learner/prey_policy/learner_stats/allreduce_latency,info/learner/prey_policy/learner_stats/grad_gnorm,info/learner/prey_policy/learner_stats/cur_kl_coeff,info/learner/prey_policy/learner_stats/cur_lr,info/learner/prey_policy/learner_stats/total_loss,info/learner/prey_policy/learner_stats/policy_loss,info/learner/prey_policy/learner_stats/vf_loss,info/learner/prey_policy/learner_stats/vf_explained_var,info/learner/prey_policy/learner_stats/kl,info/learner/prey_policy/learner_stats/entropy,info/learner/prey_policy/learner_stats/entropy_coeff
9,0,0,16000,16000,4000,4000,4000,4000,68.85643678507037,68.85643678507037,4000,4000,16000,4000,16000,False,1,645a5_00000,2024-08-22_11-54-18,1724307858,58.1794171333313,58.1794171333313,51133,Joys-MacBook-Pro.local,127.0.0.1,58.1794171333313,1,4000,4000,16000,16000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,58091.892,0.019,58091.832,5462.392,52612.674,76.027,14.689,4000,4000,16000,16000,43.727380952380955,83.56904761904762,[],[],126.98412698412699,945.5,944.5,126.98412698412699,945.5,944.5,0.0,1.4677829633471826,0.2,0.00010000000000000003,6.397626127515521,-0.018057670727342604,6.4138434902070065,0.035538460117168526,0.009201571797809154,1.60144101860662,0.0,0.0,2.2024647752995845,0.2,0.00010000000000000003,7.229742220217589,-0.02065946942456461,7.247933499270646,0.055599480741238466,0.012341019263239725,1.5992011561595574,0.0
9,0,0,32000,32000,8000,8000,4000,4000,67.83556771430668,67.83556771430668,8000,8000,32000,4000,32000,False,2,645a5_00000,2024-08-22_11-55-21,1724307921,59.03346300125122,117.21288013458252,51133,Joys-MacBook-Pro.local,127.0.0.1,117.21288013458252,2,8000,8000,32000,32000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,58529.053,0.093,58528.864,5180.871,53330.787,75.004,14.129,8000,8000,32000,32000,43.66590909090909,83.47386363636363,[],[],126.98412698412699,2835.5,944.5,126.98412698412699,2835.5,944.5,0.0,2.779173559801919,0.2,0.00010000000000000003,4.50120888904289,-0.024406010870176253,4.523129378172456,0.11600343559784863,0.012427679494161297,1.5824878517282073,0.0,0.0,3.610751351225313,0.2,0.00010000000000000003,5.988166211143373,-0.024034558623910896,6.009506353247103,0.18584911258763107,0.013472033966062886,1.5764438263953677,0.0
9,0,0,48000,48000,12000,12000,4000,4000,71.23446775186426,71.23446775186426,12000,12000,48000,4000,48000,False,3,645a5_00000,2024-08-22_11-56-17,1724307977,56.225656270980835,173.43853640556335,51133,Joys-MacBook-Pro.local,127.0.0.1,173.43853640556335,3,12000,12000,48000,48000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,57736.902,0.066,57736.762,4486.689,53232.265,75.142,14.259,12000,12000,48000,48000,35.93,83.33250000000001,[],[],126.98412698412699,4725.5,944.5,126.98412698412699,4725.5,944.5,0.0,2.7072381196829376,0.2,0.00010000000000000003,2.9706606495948065,-0.019309152338885402,2.987833288926927,0.1516241577567247,0.01068258444432455,1.5762223350938667,0.0,0.0,4.709084936866054,0.2,0.00010000000000000003,5.325098637172154,-0.021516085932309685,5.344391110586741,0.2650323951055133,0.011118110204940888,1.5637588641000173,0.0
9,0,0,64000,64000,16000,16000,4000,4000,70.82006635016495,70.82006635016495,16000,16000,64000,4000,64000,False,4,645a5_00000,2024-08-22_11-57-13,1724308033,56.49554991722107,229.93408632278442,51133,Joys-MacBook-Pro.local,127.0.0.1,229.93408632278442,4,16000,16000,64000,64000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,57422.971,0.054,57422.849,4074.684,53328.869,75.006,15.554,16000,16000,64000,64000,38.896249999999995,83.38125,[],[],126.98412698412699,6615.5,944.5,126.98412698412699,6615.5,944.5,0.0,2.5614234728157204,0.2,0.00010000000000000003,2.039318256277256,-0.023608897415497317,2.0604645486231203,0.13972247482607605,0.012313030532157177,1.5630234001174805,0.0,0.0,4.221737365180222,0.2,0.00010000000000000003,5.38711902338361,-0.025100479916565947,5.409744885737303,0.2944144506303091,0.012373137259646443,1.550979233608044,0.0
9,0,0,80000,80000,20000,20000,4000,4000,67.756367426342,67.756367426342,20000,20000,80000,4000,80000,False,5,645a5_00000,2024-08-22_11-58-12,1724308092,59.080581188201904,289.0146675109863,51133,Joys-MacBook-Pro.local,127.0.0.1,289.0146675109863,5,20000,20000,80000,80000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,57745.387,0.047,57745.28,4376.899,53349.19,74.978,15.514,20000,20000,80000,80000,39.166666666666664,83.41547619047617,[],[],126.98412698412699,8505.5,944.5,126.98412698412699,8505.5,944.5,0.0,2.7565832463837174,0.2,0.00010000000000000003,2.0167384391739254,-0.023715458003675968,2.0382146719586913,0.1475930356159412,0.011196113447781908,1.5543230894381408,0.0,0.0,5.937963082361474,0.2,0.00010000000000000003,5.751751433730756,-0.022566398668654813,5.771587038292456,0.4627211390033601,0.013654027667965878,1.548187640798155,0.0
9,0,0,96000,96000,24000,24000,4000,4000,71.61832806939493,71.61832806939493,24000,24000,96000,4000,96000,False,6,645a5_00000,2024-08-22_11-59-08,1724308148,55.88016724586487,344.8948347568512,51133,Joys-MacBook-Pro.local,127.0.0.1,344.8948347568512,6,24000,24000,96000,96000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,57429.762,0.042,57429.664,4090.842,53319.872,75.019,15.6,24000,24000,96000,96000,34.548101265822794,83.35063291139241,[],[],126.98412698412699,10395.5,944.5,126.98412698412699,10395.5,944.5,0.0,2.4621065573086813,0.2,0.00010000000000000003,1.7925726698189186,-0.022647218799179115,1.813198807283684,0.14845757162760173,0.010105397635036045,1.545176915958445,0.0,0.0,6.345665046462306,0.2,0.00010000000000000003,6.047252986040065,-0.02178685800665152,6.066580737078631,0.4667580651858496,0.012295623672584062,1.5371340399696714,0.0
9,0,0,112000,112000,28000,28000,4000,4000,71.04417295082122,71.04417295082122,28000,28000,112000,4000,112000,False,7,645a5_00000,2024-08-22_12-00-05,1724308205,56.36054706573486,401.25538182258606,51133,Joys-MacBook-Pro.local,127.0.0.1,401.25538182258606,7,28000,28000,112000,112000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,57268.797,0.038,57268.707,3867.774,53381.086,74.933,15.298,28000,28000,112000,112000,41.2625,83.33250000000001,[],[],126.98412698412699,12285.5,944.5,126.98412698412699,12285.5,944.5,0.0,3.1424833706762425,0.2,0.00010000000000000003,1.5486472569130085,-0.020520846677387242,1.56712964063599,0.169494497460663,0.010192300756979319,1.5356782539811715,0.0,0.0,8.880668370875101,0.2,0.00010000000000000003,6.085342716792273,-0.021285420829903274,6.1045201301574705,0.6341653663014609,0.010539996163012884,1.5306224476092707,0.0
9,0,0,128000,128000,32000,32000,4000,4000,72.65335793113893,72.65335793113893,32000,32000,128000,4000,128000,False,8,645a5_00000,2024-08-22_12-01-00,1724308260,55.13865804672241,456.3940398693085,51133,Joys-MacBook-Pro.local,127.0.0.1,456.3940398693085,8,32000,32000,128000,128000,716.3738243326479,118.00648670042213,440.1583120989246,400.0,4800,0,12,716.3738243326479,118.00648670042213,440.1583120989246,12,56992.193,0.035,56992.106,3702.015,53269.114,75.09,15.128,32000,32000,128000,128000,33.99102564102564,83.30256410256409,"[118.00648670042213, 615.3999999999994, 431.76691416727795, 274.1999999999995, 359.47899152275147, 530.3393795284953, 716.3738243326479, 589.2535850132917, 450.18056392221, 364.9000000000008, 465.1999999999991, 366.8000000000013]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,14175.5,1007.3425000000004,126.98412698412699,14175.5,1007.3425000000004,0.0,3.95591141064331,0.2,0.00010000000000000003,2.1838730382540867,-0.016795136023524695,2.1982221555142174,0.19044129687642294,0.012230085888532577,1.5050040825964912,0.0,0.0,11.257164536140584,0.2,0.00010000000000000003,6.124333252477898,-0.022521524203980646,6.144304862602678,0.5969588537064809,0.012749665905967867,1.518621242487872,0.0
9,0,0,144000,144000,36000,36000,4000,4000,71.05764385551686,71.05764385551686,36000,36000,144000,4000,144000,False,9,645a5_00000,2024-08-22_12-01-56,1724308316,56.351654052734375,512.7456939220428,51133,Joys-MacBook-Pro.local,127.0.0.1,512.7456939220428,9,36000,36000,144000,144000,716.3738243326479,50.45546895475954,362.9493437359538,400.0,28400,0,59,716.3738243326479,50.45546895475954,362.9493437359538,59,56914.431,0.033,56914.348,3614.145,53279.459,75.076,15.264,36000,36000,144000,144000,33.265,83.29124999999999,"[118.00648670042213, 615.3999999999994, 431.76691416727795, 274.1999999999995, 359.47899152275147, 530.3393795284953, 716.3738243326479, 589.2535850132917, 450.18056392221, 364.9000000000008, 465.1999999999991, 366.8000000000013, 316.4000000000003, 571.3999999999999, 361.3000000000013, 252.0850729029153, 660.6999999999998, 420.8964210263408, 495.1236001461828, 413.70000000000005, 640.8, 502.86553956755284, 75.59999999999998, 160.79999999999947, 329.79999999999984, 154.25639426392422, 207.18836568820916, 539.2999999999995, 64.70000000000047, 288.1999999999996, 139.19999999999993, 133.69999999999933, 93.17300132213498, 58.351757596365275, 446.7750400285624, 449.9960420258991, 515.9343128709143, 357.13008530589775, 620.2, 64.5000000000006, 487.48755074184334, 199.2999999999997, 442.99999999999955, 238.14343590788926, 327.2999999999998, 374.36365647458524, 607.0726565307655, 81.30879837316557, 477.0967463098938, 491.76642204987104, 289.2000000000002, 319.99999999999955, 615.6, 308.01286347544954, 371.6000000000015, 662.9987274958014, 226.1999999999996, 526.3176097385935, 579.1153368474343, 525.0147587540813, 304.30000000000007, 307.61706433213266, 50.45546895475954, 223.85302134597646, 75.00000000000001, 68.1000000000004, 133.60000000000005, 390.7999999999993, 428.70000000000084, 573.2869211358554, 446.816988852629]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,16065.5,944.5,126.98412698412699,16065.5,944.5,0.0,4.969550010514638,0.2,0.00010000000000000003,3.2494952571455133,-0.022205954217770822,3.269262271268027,0.22956738500368026,0.012194681756454643,1.4596644716918783,0.0,0.0,12.527668848428776,0.2,0.00010000000000000003,6.636879342447513,-0.025857615374551012,6.6595575519339745,0.5494745080748563,0.015897026609520984,1.4759050571729266,0.0
9,0,0,160000,160000,40000,40000,4000,4000,71.19313045590646,71.19313045590646,40000,40000,160000,4000,160000,False,10,645a5_00000,2024-08-22_12-02-53,1724308373,56.26590418815613,569.011598110199,51133,Joys-MacBook-Pro.local,127.0.0.1,569.011598110199,10,40000,40000,160000,160000,716.3738243326479,-68.26888083597322,338.20408564288056,400.0,36000,0,19,716.3738243326479,-68.26888083597322,338.20408564288056,19,56841.508,0.031,56841.429,3517.675,53303.508,75.042,14.995,40000,40000,160000,160000,34.36875,83.295,"[118.00648670042213, 615.3999999999994, 431.76691416727795, 274.1999999999995, 359.47899152275147, 530.3393795284953, 716.3738243326479, 589.2535850132917, 450.18056392221, 364.9000000000008, 465.1999999999991, 366.8000000000013, 316.4000000000003, 571.3999999999999, 361.3000000000013, 252.0850729029153, 660.6999999999998, 420.8964210263408, 495.1236001461828, 413.70000000000005, 640.8, 502.86553956755284, 75.59999999999998, 160.79999999999947, 329.79999999999984, 154.25639426392422, 207.18836568820916, 539.2999999999995, 64.70000000000047, 288.1999999999996, 139.19999999999993, 133.69999999999933, 93.17300132213498, 58.351757596365275, 446.7750400285624, 449.9960420258991, 515.9343128709143, 357.13008530589775, 620.2, 64.5000000000006, 487.48755074184334, 199.2999999999997, 442.99999999999955, 238.14343590788926, 327.2999999999998, 374.36365647458524, 607.0726565307655, 81.30879837316557, 477.0967463098938, 491.76642204987104, 289.2000000000002, 319.99999999999955, 615.6, 308.01286347544954, 371.6000000000015, 662.9987274958014, 226.1999999999996, 526.3176097385935, 579.1153368474343, 525.0147587540813, 304.30000000000007, 307.61706433213266, 50.45546895475954, 223.85302134597646, 75.00000000000001, 68.1000000000004, 133.60000000000005, 390.7999999999993, 428.70000000000084, 573.2869211358554, 446.816988852629, 288.63498775230926, 130.099999999997, 130.90000000000015, 514.4999999999998, -68.26888083597322, 78.89656160166523, 301.59679824362445, 88.50000000000016, 55.02930578823269, 360.4955038806338, 502.9999999999994, 73.20000000000013, 284.65275116279787, 69.40000000000033, 134.09999999999624, 329.09999999999945, 422.3000000000032, 601.6000000000004, 371.2272750132408]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,17955.5,944.5,126.98412698412699,17955.5,944.5,0.0,5.428732839274028,0.2,0.00010000000000000003,5.193198330440218,-0.024737903851123833,5.21443506763095,0.18659605093733975,0.017505820420516467,1.3562026857699037,0.0,0.0,11.263106126003164,0.2,0.00010000000000000003,7.09611371534842,-0.021767903230936518,7.114325533215962,0.35658141324129056,0.017780480170918125,1.4069107652341246,0.0
