num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/prey_policy/num_agent_steps_trained,info/learner/prey_policy/num_grad_updates_lifetime,info/learner/prey_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/predator_policy/num_agent_steps_trained,info/learner/predator_policy/num_grad_updates_lifetime,info/learner/predator_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/prey_policy/learner_stats/allreduce_latency,info/learner/prey_policy/learner_stats/grad_gnorm,info/learner/prey_policy/learner_stats/cur_kl_coeff,info/learner/prey_policy/learner_stats/cur_lr,info/learner/prey_policy/learner_stats/total_loss,info/learner/prey_policy/learner_stats/policy_loss,info/learner/prey_policy/learner_stats/vf_loss,info/learner/prey_policy/learner_stats/vf_explained_var,info/learner/prey_policy/learner_stats/kl,info/learner/prey_policy/learner_stats/entropy,info/learner/prey_policy/learner_stats/entropy_coeff,info/learner/predator_policy/learner_stats/allreduce_latency,info/learner/predator_policy/learner_stats/grad_gnorm,info/learner/predator_policy/learner_stats/cur_kl_coeff,info/learner/predator_policy/learner_stats/cur_lr,info/learner/predator_policy/learner_stats/total_loss,info/learner/predator_policy/learner_stats/policy_loss,info/learner/predator_policy/learner_stats/vf_loss,info/learner/predator_policy/learner_stats/vf_explained_var,info/learner/predator_policy/learner_stats/kl,info/learner/predator_policy/learner_stats/entropy,info/learner/predator_policy/learner_stats/entropy_coeff
9,0,0,16000,16000,4000,4000,4000,4000,68.07086681215178,68.07086681215178,4000,4000,16000,4000,16000,False,1,72c80_00000,2024-08-22_11-38-37,1724306917,58.803937911987305,58.803937911987305,40806,Joys-MacBook-Pro.local,127.0.0.1,58.803937911987305,1,4000,4000,16000,16000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,58762.311,0.037,58762.219,4449.179,54292.258,73.675,16.65,4000,4000,16000,16000,34.99294117647059,83.47294117647058,[],[],126.98412698412699,945.5,944.5,126.98412698412699,945.5,944.5,0.0,1.7124975560834168,0.2,0.00010000000000000003,7.49537312139279,-0.020128524349263262,7.5134663258910805,0.024515188087231268,0.010176586834147138,1.6016465279160352,0.0,0.0,1.2037376799753734,0.2,0.00010000000000000003,6.129541979895698,-0.016909256028799863,6.144680486658894,0.037008685472781064,0.008853879112075205,1.6026721031577498,0.0
9,0,0,32000,32000,8000,8000,4000,4000,71.45434209375486,71.45434209375486,8000,8000,32000,4000,32000,False,2,72c80_00000,2024-08-22_11-39-36,1724306976,56.04410004615784,114.84803795814514,40806,Joys-MacBook-Pro.local,127.0.0.1,114.84803795814514,2,8000,8000,32000,32000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,57371.062,0.025,57370.983,3545.302,53808.118,74.338,14.286,8000,8000,32000,32000,31.03614457831325,83.09879518072287,[],[],126.98412698412699,2835.5,944.5,126.98412698412699,2835.5,944.5,0.0,3.8499956267220634,0.2,0.00010000000000000003,6.217969929730451,-0.0268932259637892,6.242467251782695,0.09140688896809936,0.011979441354531677,1.5838974034344708,0.0,0.0,1.4851675845958567,0.2,0.00010000000000000003,4.513139115439521,-0.02746640943217451,4.53864372735301,0.08467204160791225,0.009808949857830715,1.5893157093613237,0.0
9,0,0,48000,48000,12000,12000,4000,4000,69.86577851943849,69.86577851943849,12000,12000,48000,4000,48000,False,3,72c80_00000,2024-08-22_11-40-33,1724307033,57.29243588447571,172.14047384262085,40806,Joys-MacBook-Pro.local,127.0.0.1,172.14047384262085,3,12000,12000,48000,48000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,57331.591,0.022,57331.504,3259.053,54054.594,73.999,13.961,12000,12000,48000,48000,35.70243902439025,83.24756097560973,[],[],126.98412698412699,4725.5,944.5,126.98412698412699,4725.5,944.5,0.0,4.291429633280588,0.2,0.00010000000000000003,5.924105905603479,-0.025556131848873245,5.947231544514812,0.15399915276381074,0.012152402401684966,1.571751318911396,0.0,0.0,1.987897390978677,0.2,0.00010000000000000003,3.182192622543012,-0.021970315049427053,3.2023062784205036,0.1181555744201418,0.009283288830531535,1.5809421351977757,0.0
9,0,0,64000,64000,16000,16000,4000,4000,71.61607251433318,71.61607251433318,16000,16000,64000,4000,64000,False,4,72c80_00000,2024-08-22_11-41-29,1724307089,55.90610599517822,228.04657983779907,40806,Joys-MacBook-Pro.local,127.0.0.1,228.04657983779907,4,16000,16000,64000,64000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,56962.041,0.02,56961.963,3060.639,53883.703,74.234,13.934,16000,16000,64000,64000,31.707594936708855,82.9354430379747,[],[],126.98412698412699,6615.5,944.5,126.98412698412699,6615.5,944.5,0.0,4.939185200734113,0.2,0.00010000000000000003,5.656041677666719,-0.023978614556681977,5.677448317108961,0.28191377589942285,0.012859907833842077,1.56206092260502,0.0,0.0,1.575840271906878,0.2,0.00010000000000000003,2.6716127829576926,-0.023674758755301357,2.6933782620404765,0.09356134180669431,0.009546380682488677,1.5671070230070245,0.0
9,0,0,80000,80000,20000,20000,4000,4000,70.54378983329195,70.54378983329195,20000,20000,80000,4000,80000,False,5,72c80_00000,2024-08-22_11-42-26,1724307146,56.74704599380493,284.793625831604,40806,Joys-MacBook-Pro.local,127.0.0.1,284.793625831604,5,20000,20000,80000,80000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,56910.108,0.019,56910.036,3138.792,53753.176,74.414,13.965,20000,20000,80000,80000,33.772839506172836,83.11604938271607,[],[],126.98412698412699,8505.5,944.5,126.98412698412699,8505.5,944.5,0.0,4.948073602574212,0.2,0.00010000000000000003,5.817361992881412,-0.023925793348816494,5.838856802037153,0.24585902031767307,0.012154934891110296,1.5509150880985159,0.0,0.0,2.2324237661386923,0.2,0.00010000000000000003,2.343200686936656,-0.025223366516548648,2.3663358039326137,0.08312985436626212,0.010441244681853624,1.5511439319010134,0.0
9,0,0,96000,96000,24000,24000,4000,4000,69.70987205392846,69.70987205392846,24000,24000,96000,4000,96000,False,6,72c80_00000,2024-08-22_11-43-23,1724307203,57.43648600578308,342.2301118373871,40806,Joys-MacBook-Pro.local,127.0.0.1,342.2301118373871,6,24000,24000,96000,96000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,56988.538,0.018,56988.471,3323.661,53646.938,74.562,14.091,24000,24000,96000,96000,31.47901234567901,83.31975308641977,[],[],126.98412698412699,10395.5,944.5,126.98412698412699,10395.5,944.5,0.0,6.345683300242853,0.2,0.00010000000000000003,6.145354691258183,-0.02209719090239593,6.1650609117336375,0.32849811665595524,0.011954881831210245,1.53531142851663,0.0,0.0,2.456952812495055,0.2,0.00010000000000000003,2.5957850144653722,-0.02126903047528926,2.615088010780395,0.15384489140182575,0.009830175405959525,1.544363694531577,0.0
9,0,0,112000,112000,28000,28000,4000,4000,70.99024754992334,70.99024754992334,28000,28000,112000,4000,112000,False,7,72c80_00000,2024-08-22_11-44-20,1724307260,56.40935397148132,398.6394658088684,40806,Joys-MacBook-Pro.local,127.0.0.1,398.6394658088684,7,28000,28000,112000,112000,705.1000000000004,-25.436495175014322,291.4344764814108,400.0,18800,0,47,705.1000000000004,-25.436495175014322,291.4344764814108,47,56896.715,0.018,56896.65,3226.765,53649.759,74.558,16.304,28000,28000,112000,112000,34.60875,82.9375,"[210.89999999999915, 132.99999999999977, 339.8559985745813, 198.82940395223198, 315.9104826835379, 354.6634947745424, 149.29999999999995, 181.59762999960202, 261.12202856174054, 420.9321661636556, 447.6016712427198, 72.10000000000018, 72.20000000000017, 168.59999999999883, 348.5000000000009, 282.1964196269459, 427.90000000000276, 183.31147243808513, 221.0263434675871, 376.7524836338964, 628.0146576844813, 278.42270821068536, 262.7999999999989, 265.6999999999998, 242.3000000000002, 282.78568322093383, 435.06100233873656, 310.6923994000433, 182.63497537737786, 462.7004852632656, 507.77219210515057, 293.4999999999999, 506.3000000000016, -25.436495175014322, 82.29999999999953, 559.3, 76.69999999999985, 79.79999999999956, 60.200000000000585, 387.08520437603374, 432.5082825546266, 430.475036191564, 167.39889702796017, 705.1000000000004, 397.800000000002, 320.12293933837, 199.08283159296056]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,12285.5,944.5,126.98412698412699,12285.5,944.5,0.0,6.732078444074701,0.2,0.00010000000000000003,6.64132862696572,-0.025885426342578496,6.6648188800408095,0.2872985474962406,0.011975882248952985,1.526928737050011,0.0,0.0,3.4104448494141693,0.2,0.00010000000000000003,2.889530265205121,-0.019259692601386515,2.906714055020973,0.174096347415258,0.010379508455412058,1.5206415918138292,0.0
9,0,0,128000,128000,32000,32000,4000,4000,70.24243993496698,70.24243993496698,32000,32000,128000,4000,128000,False,8,72c80_00000,2024-08-22_11-45-17,1724307317,57.02091026306152,455.66037607192993,40806,Joys-MacBook-Pro.local,127.0.0.1,455.66037607192993,8,32000,32000,128000,128000,705.1000000000004,-25.436495175014322,301.6251030202227,400.0,28800,0,25,705.1000000000004,-25.436495175014322,301.6251030202227,25,56902.83,0.018,56902.767,3286.38,53596.783,74.631,16.05,32000,32000,128000,128000,32.312345679012346,82.99876543209876,"[210.89999999999915, 132.99999999999977, 339.8559985745813, 198.82940395223198, 315.9104826835379, 354.6634947745424, 149.29999999999995, 181.59762999960202, 261.12202856174054, 420.9321661636556, 447.6016712427198, 72.10000000000018, 72.20000000000017, 168.59999999999883, 348.5000000000009, 282.1964196269459, 427.90000000000276, 183.31147243808513, 221.0263434675871, 376.7524836338964, 628.0146576844813, 278.42270821068536, 262.7999999999989, 265.6999999999998, 242.3000000000002, 282.78568322093383, 435.06100233873656, 310.6923994000433, 182.63497537737786, 462.7004852632656, 507.77219210515057, 293.4999999999999, 506.3000000000016, -25.436495175014322, 82.29999999999953, 559.3, 76.69999999999985, 79.79999999999956, 60.200000000000585, 387.08520437603374, 432.5082825546266, 430.475036191564, 167.39889702796017, 705.1000000000004, 397.800000000002, 320.12293933837, 199.08283159296056, 394.1999999999997, 234.21553890552005, 531.2999999999994, 324.75597962057583, 259.8999999999986, 247.79999999999905, 295.39999999999986, 505.6235875062276, 551.9000000000001, 278.99999999999966, 136.07594415933764, 488.67172848623363, 205.09999999999943, 301.1999999999995, 281.3999999999995, 214.6651650792328, 312.9000000000002, 316.4000000000002, 635.4999999999998, 73.67081240898051, 476.0102553231921, 371.0000000000015, 135.54981562025853, 153.44819572017684, 293.8999999999988]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,14175.5,944.5,126.98412698412699,14175.5,944.5,0.0,8.121954511460803,0.2,0.00010000000000000003,7.210349334232391,-0.0255563478936594,7.232580517208765,0.2978329722843473,0.016625793999129976,1.4367342805105543,0.0,0.0,5.010518665288491,0.2,0.00010000000000000003,5.234563652674357,-0.027106282226347103,5.258622055961972,0.1533767460830628,0.015239298291425542,1.4349924120953474,0.0
9,0,0,144000,144000,36000,36000,4000,4000,72.43406617183169,72.43406617183169,36000,36000,144000,4000,144000,False,9,72c80_00000,2024-08-22_11-46-12,1724307372,55.27456784248352,510.93494391441345,40806,Joys-MacBook-Pro.local,127.0.0.1,510.93494391441345,9,36000,36000,144000,144000,705.1000000000004,-25.436495175014322,301.6251030202227,400.0,28800,0,0,705.1000000000004,-25.436495175014322,301.6251030202227,0,56716.143,0.017,56716.08,3182.377,53514.117,74.747,15.866,36000,36000,144000,144000,33.41518987341771,83.22784810126582,"[210.89999999999915, 132.99999999999977, 339.8559985745813, 198.82940395223198, 315.9104826835379, 354.6634947745424, 149.29999999999995, 181.59762999960202, 261.12202856174054, 420.9321661636556, 447.6016712427198, 72.10000000000018, 72.20000000000017, 168.59999999999883, 348.5000000000009, 282.1964196269459, 427.90000000000276, 183.31147243808513, 221.0263434675871, 376.7524836338964, 628.0146576844813, 278.42270821068536, 262.7999999999989, 265.6999999999998, 242.3000000000002, 282.78568322093383, 435.06100233873656, 310.6923994000433, 182.63497537737786, 462.7004852632656, 507.77219210515057, 293.4999999999999, 506.3000000000016, -25.436495175014322, 82.29999999999953, 559.3, 76.69999999999985, 79.79999999999956, 60.200000000000585, 387.08520437603374, 432.5082825546266, 430.475036191564, 167.39889702796017, 705.1000000000004, 397.800000000002, 320.12293933837, 199.08283159296056, 394.1999999999997, 234.21553890552005, 531.2999999999994, 324.75597962057583, 259.8999999999986, 247.79999999999905, 295.39999999999986, 505.6235875062276, 551.9000000000001, 278.99999999999966, 136.07594415933764, 488.67172848623363, 205.09999999999943, 301.1999999999995, 281.3999999999995, 214.6651650792328, 312.9000000000002, 316.4000000000002, 635.4999999999998, 73.67081240898051, 476.0102553231921, 371.0000000000015, 135.54981562025853, 153.44819572017684, 293.8999999999988]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,16065.5,970.4874999999993,126.98412698412699,16065.5,970.4874999999993,0.0,7.774467399574461,0.2,0.00010000000000000003,6.910475358761177,-0.023382422944195767,6.930985531478963,0.300775977574959,0.014361274648684436,1.4485111911460835,0.0,0.0,5.283119303839547,0.2,0.00010000000000000003,4.114060307936693,-0.025743746418239816,4.136758061439272,0.1894013048795165,0.015229979014546468,1.4399886613800412,0.0
9,0,0,160000,160000,40000,40000,4000,4000,71.6725665084616,71.6725665084616,40000,40000,160000,4000,160000,False,10,72c80_00000,2024-08-22_11-47-08,1724307428,55.865265130996704,566.8002090454102,40806,Joys-MacBook-Pro.local,127.0.0.1,566.8002090454102,10,40000,40000,160000,160000,705.1000000000004,-25.436495175014322,301.6251030202227,400.0,28800,0,0,705.1000000000004,-25.436495175014322,301.6251030202227,0,56625.465,0.017,56625.404,3101.333,53504.646,74.76,15.844,40000,40000,160000,160000,29.65822784810126,83.34683544303796,"[210.89999999999915, 132.99999999999977, 339.8559985745813, 198.82940395223198, 315.9104826835379, 354.6634947745424, 149.29999999999995, 181.59762999960202, 261.12202856174054, 420.9321661636556, 447.6016712427198, 72.10000000000018, 72.20000000000017, 168.59999999999883, 348.5000000000009, 282.1964196269459, 427.90000000000276, 183.31147243808513, 221.0263434675871, 376.7524836338964, 628.0146576844813, 278.42270821068536, 262.7999999999989, 265.6999999999998, 242.3000000000002, 282.78568322093383, 435.06100233873656, 310.6923994000433, 182.63497537737786, 462.7004852632656, 507.77219210515057, 293.4999999999999, 506.3000000000016, -25.436495175014322, 82.29999999999953, 559.3, 76.69999999999985, 79.79999999999956, 60.200000000000585, 387.08520437603374, 432.5082825546266, 430.475036191564, 167.39889702796017, 705.1000000000004, 397.800000000002, 320.12293933837, 199.08283159296056, 394.1999999999997, 234.21553890552005, 531.2999999999994, 324.75597962057583, 259.8999999999986, 247.79999999999905, 295.39999999999986, 505.6235875062276, 551.9000000000001, 278.99999999999966, 136.07594415933764, 488.67172848623363, 205.09999999999943, 301.1999999999995, 281.3999999999995, 214.6651650792328, 312.9000000000002, 316.4000000000002, 635.4999999999998, 73.67081240898051, 476.0102553231921, 371.0000000000015, 135.54981562025853, 153.44819572017684, 293.8999999999988]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,17955.5,944.5,126.98412698412699,17955.5,944.5,0.0,8.106657563000129,0.2,0.00010000000000000003,7.17916682687386,-0.023327800746213784,7.19995314961388,0.2783168446450006,0.012707404253964938,1.48121250413713,0.0,0.0,5.6524784546680555,0.2,0.00010000000000000003,3.9123071756312457,-0.023805743087546297,3.9327882408465027,0.17420070997621648,0.016623373465395715,1.452555650251883,0.0
