num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/predator_policy/num_agent_steps_trained,info/learner/predator_policy/num_grad_updates_lifetime,info/learner/predator_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/prey_policy/num_agent_steps_trained,info/learner/prey_policy/num_grad_updates_lifetime,info/learner/prey_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/predator_policy/learner_stats/allreduce_latency,info/learner/predator_policy/learner_stats/grad_gnorm,info/learner/predator_policy/learner_stats/cur_kl_coeff,info/learner/predator_policy/learner_stats/cur_lr,info/learner/predator_policy/learner_stats/total_loss,info/learner/predator_policy/learner_stats/policy_loss,info/learner/predator_policy/learner_stats/vf_loss,info/learner/predator_policy/learner_stats/vf_explained_var,info/learner/predator_policy/learner_stats/kl,info/learner/predator_policy/learner_stats/entropy,info/learner/predator_policy/learner_stats/entropy_coeff,info/learner/prey_policy/learner_stats/allreduce_latency,info/learner/prey_policy/learner_stats/grad_gnorm,info/learner/prey_policy/learner_stats/cur_kl_coeff,info/learner/prey_policy/learner_stats/cur_lr,info/learner/prey_policy/learner_stats/total_loss,info/learner/prey_policy/learner_stats/policy_loss,info/learner/prey_policy/learner_stats/vf_loss,info/learner/prey_policy/learner_stats/vf_explained_var,info/learner/prey_policy/learner_stats/kl,info/learner/prey_policy/learner_stats/entropy,info/learner/prey_policy/learner_stats/entropy_coeff
9,0,0,39202,39202,4000,4000,4000,4000,54.04482853378677,54.04482853378677,4000,4000,39202,4000,39202,False,1,66779_00000,2024-08-31_09-57-16,1725078436,74.19852018356323,74.19852018356323,61711,Joys-MacBook-Pro.local,127.0.0.1,74.19852018356323,1,4000,4000,39202,39202,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,74012.64,0.028,74012.554,9828.676,64151.884,62.352,15.105,4000,4000,39202,39202,96.43364485981309,83.11682242990655,[],[],127.38853503184713,1178.0,1177.0,127.16556291390728,1133.0,1132.0,0.0,1.5507743225862014,0.2,0.00010000000000000003,2.7420734319464164,-0.008349479210855649,2.7491095571760917,0.21546787613263302,0.00656678060864567,1.6052279940076695,0.0,0.0,2.8654482137551636,0.19999999999999998,0.00010000000000000002,4.075033992567566,-0.01342185789207305,4.086623402232629,0.1915139136461759,0.009162302058607455,1.6034141747367303,0.0
9,0,0,77718,77718,8000,8000,4000,4000,60.19154952522549,60.19154952522549,8000,8000,77718,4000,77718,False,2,66779_00000,2024-08-31_09-58-26,1725078506,66.4877860546112,140.68630623817444,61711,Joys-MacBook-Pro.local,127.0.0.1,140.68630623817444,2,8000,8000,77718,77718,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,70233.581,0.023,70233.508,7905.064,62295.864,64.21,15.877,8000,8000,77718,77718,91.11224489795919,83.12040816326531,[],[],127.38853503184713,3533.0,1177.0,127.69655172413793,3353.0,1087.0,0.0,2.8934687778195505,0.2,0.00010000000000000003,2.16852754346884,-0.016923524427174288,2.1839001350848286,0.4315707696977441,0.007754665027588068,1.594067228220071,0.0,0.0,4.318147659520993,0.19999999999999998,0.00010000000000000002,3.186788648736888,-0.02464139612926834,3.2086800312173778,0.4961058431658252,0.013750081384693668,1.577507611088369,0.0
9,0,0,115797,115797,12000,12000,4000,4000,63.474112628139814,63.474112628139814,12000,12000,115797,4000,115797,False,3,66779_00000,2024-08-31_09-59-29,1725078569,63.05323791503906,203.7395441532135,61711,Joys-MacBook-Pro.local,127.0.0.1,203.7395441532135,3,12000,12000,115797,115797,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,67828.329,0.021,67828.264,6698.86,61100.399,65.466,15.113,12000,12000,115797,115797,38.57415730337078,81.78539325842696,[],[],127.38853503184713,5888.0,1177.0,127.3169014084507,5505.5,1064.5,0.0,3.281838368610212,0.2,0.00010000000000000003,2.0979404704585956,-0.020510545971698567,2.116364012402334,0.4494497509519006,0.010435026709826746,1.571109868462678,0.0,0.0,6.371414447614285,0.2,0.00010000000000000002,3.309241020847374,-0.02379796262371393,3.330419939448576,0.5667079255334648,0.013095242687842061,1.5469897335124128,0.0
9,0,0,153283,153283,16000,16000,4000,4000,67.59387329317092,67.59387329317092,16000,16000,153283,4000,153283,False,4,66779_00000,2024-08-31_10-00-28,1725078628,59.21691274642944,262.95645689964294,61711,Joys-MacBook-Pro.local,127.0.0.1,262.95645689964294,4,16000,16000,153283,153283,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,65665.489,0.025,65665.411,5886.093,59752.342,66.943,14.701,16000,16000,153283,153283,32.19176470588236,82.6105882352941,[],[],127.38853503184713,8243.0,1177.0,127.63503649635037,7598.0,1027.0,0.0,4.353601235138636,0.2,0.00010000000000000003,2.32172521193316,-0.018100252845116956,2.3376465413727323,0.4969359790190517,0.010894563234947037,1.5446628354916907,0.0,0.0,7.736180886502973,0.20000000000000007,0.00010000000000000003,3.6098484324712823,-0.023498645040983847,3.6305563135448744,0.49033014536484026,0.013953828371816525,1.5159398015688226,0.0
9,0,0,190265,190265,20000,20000,4000,4000,69.16206294705539,69.16206294705539,20000,20000,190265,4000,190265,False,5,66779_00000,2024-08-31_10-01-26,1725078686,57.84462308883667,320.8010799884796,61711,Joys-MacBook-Pro.local,127.0.0.1,320.8010799884796,5,20000,20000,190265,190265,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,64099.428,0.023,64099.356,5272.538,58801.952,68.025,14.538,20000,20000,190265,190265,32.15243902439024,82.49024390243902,[],[],127.38853503184713,10598.0,1177.0,127.6842105263158,9623.0,997.0,0.0,4.519161816513969,0.2,0.00010000000000000003,2.230596684953969,-0.02029444457174154,2.248482745164519,0.5028023004025663,0.012041919390945803,1.5203253252491071,0.0,0.0,8.230495915795329,0.20000000000000004,0.00010000000000000003,3.7027041240443563,-0.022096147432335112,3.721960026757759,0.4772466899159558,0.014201192910733976,1.477830332024653,0.0
9,0,0,226902,226902,24000,24000,4000,4000,69.52475034949961,69.52475034949961,24000,24000,226902,4000,226902,False,6,66779_00000,2024-08-31_10-02-23,1725078743,57.55309009552002,378.35417008399963,61711,Joys-MacBook-Pro.local,127.0.0.1,378.35417008399963,6,24000,24000,226902,226902,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,63005.102,0.021,63005.035,4990.291,57991.364,68.976,14.171,24000,24000,226902,226902,29.952439024390245,82.63048780487804,[],[],127.38853503184713,12953.0,1202.9050000000007,127.97692307692307,11595.5,990.3285748632569,0.0,4.887379592998772,0.2,0.00010000000000000003,2.1300033083893437,-0.02143683365522439,2.148986881503127,0.4757299783629723,0.012266318900253616,1.4937504788619445,0.0,0.0,8.935779176125159,0.20000000000000004,0.00010000000000000003,3.3605777184168497,-0.022551001651236455,3.3798763726307794,0.5623608462627118,0.016261746247943777,1.441432777796036,0.0
9,0,0,263359,263359,28000,28000,4000,4000,69.23556938453515,69.23556938453515,28000,28000,263359,4000,263359,False,7,66779_00000,2024-08-31_10-03-21,1725078801,57.804328203201294,436.1584982872009,61711,Joys-MacBook-Pro.local,127.0.0.1,436.1584982872009,7,28000,28000,263359,263359,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,62257.77,0.02,62257.707,4780.002,57454.25,69.621,14.059,28000,28000,263359,263359,31.73780487804878,82.28170731707317,[],[],127.38853503184713,15308.0,1255.3037499999991,127.57364341085271,13538.0,1035.3690830649575,0.0,4.690292496716647,0.2,0.00010000000000000003,1.815700044778755,-0.019300039041285143,1.832636865815286,0.4764833445255417,0.011816105882255578,1.477545705975494,0.0,0.0,7.301177719458745,0.2,0.00010000000000000003,2.948832944382069,-0.020916856658279182,2.967050416648234,0.5127029006795366,0.01349690590482157,1.4328624786948665,0.0
9,0,0,299481,299481,32000,32000,4000,4000,71.42065401167036,71.42065401167036,32000,32000,299481,4000,299481,False,8,66779_00000,2024-08-31_10-04-17,1725078857,56.02373814582825,492.1822364330292,61711,Joys-MacBook-Pro.local,127.0.0.1,492.1822364330292,8,32000,32000,299481,299481,914.1197799554656,184.32061182799194,608.2463702615503,400.0,8000,0,20,914.1197799554656,184.32061182799194,608.2463702615503,20,61476.326,0.019,61476.264,4568.588,56884.932,70.317,13.961,32000,32000,299481,299481,29.546835443037978,82.6607594936709,"[323.7713493997928, 350.52517316636414, 707.0438674118408, 655.4726579455809, 914.1197799554656, 673.938707135825, 724.762757856866, 882.6996801769334, 491.4410384778248, 886.8130865830968, 610.775503246862, 705.8042480141232, 402.96139705672107, 513.951196714532, 837.9987189778234, 184.32061182799194, 729.9525233643022, 523.5803558697014, 511.96811863375467, 533.0266334156056]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.38853503184713,17663.0,1229.9874999999995,127.95238095238095,15450.5,998.510048381095,0.0,4.184994545281566,0.2,0.00010000000000000003,1.7120938966228705,-0.017637528024511035,1.727139778147331,0.4554909888346484,0.012958226419664967,1.4557964622088553,0.0,0.0,6.914608018549662,0.2,0.00010000000000000003,2.9122816089599852,-0.016164046185702163,2.9261977605718785,0.5447110258397602,0.011239459295510732,1.4011162467734524,0.0
9,0,0,336353,336353,36000,36000,4000,4000,70.5633824509895,70.5633824509895,36000,36000,336353,4000,336353,False,9,66779_00000,2024-08-31_10-05-14,1725078914,56.71694087982178,548.899177312851,61711,Joys-MacBook-Pro.local,127.0.0.1,548.899177312851,9,36000,36000,336353,336353,1215.9297710963408,184.32061182799194,608.8103899752286,400.0,27200,0,48,1215.9297710963408,184.32061182799194,608.8103899752286,48,60944.138,0.019,60944.078,4405.546,56515.824,70.777,13.883,36000,36000,336353,336353,33.072500000000005,82.75874999999999,"[323.7713493997928, 350.52517316636414, 707.0438674118408, 655.4726579455809, 914.1197799554656, 673.938707135825, 724.762757856866, 882.6996801769334, 491.4410384778248, 886.8130865830968, 610.775503246862, 705.8042480141232, 402.96139705672107, 513.951196714532, 837.9987189778234, 184.32061182799194, 729.9525233643022, 523.5803558697014, 511.96811863375467, 533.0266334156056, 606.3997271854488, 959.7178418140458, 533.5175639150173, 561.2893914085149, 724.5206375851809, 527.831599156287, 432.06524812623735, 649.6693504419478, 591.3866233604281, 345.57681311236195, 564.5975592514749, 739.8189953988694, 782.921008284796, 518.3021561367041, 602.4779823177263, 1085.374037971087, 438.5571202937142, 481.55098001275775, 488.12764701746426, 356.7780356182088, 562.6293021646563, 389.35513398410984, 656.5001885226759, 1058.7210964441288, 450.7578017735941, 1099.756564270424, 758.5040349583096, 756.4508893885705, 937.918876588747, 534.8620259141298, 469.5366914188251, 641.3422586051738, 657.4232222074238, 251.0582486945334, 579.4336497898939, 1215.9297710963408, 271.206798271832, 394.82902958428605, 737.6598139565795, 1007.6595685300273, 795.0399020872562, 382.3636846847248, 461.5704497046447, 401.42326935667586, 561.8708495052788, 266.65256532473074, 582.9532654874663, 360.2898423612356]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.38853503184713,20018.0,1202.9049999999986,127.81818181818181,17385.5,1009.2155049786633,0.0,3.956988447765383,0.2,0.00010000000000000003,1.9353841810722514,-0.016941797054687124,1.949414420785924,0.4491368501555894,0.014557780986829739,1.3950358750713858,0.0,0.0,8.948714846673639,0.20000000000000004,0.00010000000000000003,3.0836400167508558,-0.014408335059227404,3.0955086499753626,0.5852602028184467,0.012698546654986913,1.3501674070502772,0.0
9,0,0,374617,374617,40000,40000,4000,4000,68.83286120295843,68.83286120295843,40000,40000,374617,4000,374617,False,10,66779_00000,2024-08-31_10-06-12,1725078972,58.13316893577576,607.0323462486267,61711,Joys-MacBook-Pro.local,127.0.0.1,607.0323462486267,10,40000,40000,374617,374617,1215.9297710963408,184.32061182799194,598.1814997302039,400.0,36000,0,22,1215.9297710963408,184.32061182799194,598.1814997302039,22,60660.903,0.018,60660.844,4238.482,56400.245,70.922,13.848,40000,40000,374617,374617,35.35180722891566,82.68313253012047,"[323.7713493997928, 350.52517316636414, 707.0438674118408, 655.4726579455809, 914.1197799554656, 673.938707135825, 724.762757856866, 882.6996801769334, 491.4410384778248, 886.8130865830968, 610.775503246862, 705.8042480141232, 402.96139705672107, 513.951196714532, 837.9987189778234, 184.32061182799194, 729.9525233643022, 523.5803558697014, 511.96811863375467, 533.0266334156056, 606.3997271854488, 959.7178418140458, 533.5175639150173, 561.2893914085149, 724.5206375851809, 527.831599156287, 432.06524812623735, 649.6693504419478, 591.3866233604281, 345.57681311236195, 564.5975592514749, 739.8189953988694, 782.921008284796, 518.3021561367041, 602.4779823177263, 1085.374037971087, 438.5571202937142, 481.55098001275775, 488.12764701746426, 356.7780356182088, 562.6293021646563, 389.35513398410984, 656.5001885226759, 1058.7210964441288, 450.7578017735941, 1099.756564270424, 758.5040349583096, 756.4508893885705, 937.918876588747, 534.8620259141298, 469.5366914188251, 641.3422586051738, 657.4232222074238, 251.0582486945334, 579.4336497898939, 1215.9297710963408, 271.206798271832, 394.82902958428605, 737.6598139565795, 1007.6595685300273, 795.0399020872562, 382.3636846847248, 461.5704497046447, 401.42326935667586, 561.8708495052788, 266.65256532473074, 582.9532654874663, 360.2898423612356, 347.31054942807805, 579.064302960078, 458.04066980790725, 541.2326959679287, 652.1050513399085, 941.701544901502, 657.3307596179734, 402.3974221296146, 553.1047057413961, 746.0776455678906, 752.9937780105727, 456.51660721201375, 422.3063854445238, 713.6720014668603, 622.2274085221557, 327.72081297124635, 276.72891650567743, 735.0881326976661, 187.72634395155836, 757.5385073915735, 917.6989034287616, 388.64531233790206]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.38853503184713,22373.0,1229.39875,127.72027972027972,19448.0,1111.2444152431015,0.0,4.8698772333736375,0.2,0.00010000000000000003,2.3235732789252213,-0.01680937449343012,2.3373928944776012,0.43674758928343493,0.014948819984628516,1.3349521399556705,0.0,0.0,8.363639679321876,0.19999999999999998,0.0001,3.1217567786748037,-0.011073273064955062,3.130511549413899,0.5125369187001582,0.011592489979414396,1.3192557883985114,0.0
