num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/predator_policy/num_agent_steps_trained,info/learner/predator_policy/num_grad_updates_lifetime,info/learner/predator_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/prey_policy/num_agent_steps_trained,info/learner/prey_policy/num_grad_updates_lifetime,info/learner/prey_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/predator_policy/learner_stats/allreduce_latency,info/learner/predator_policy/learner_stats/grad_gnorm,info/learner/predator_policy/learner_stats/cur_kl_coeff,info/learner/predator_policy/learner_stats/cur_lr,info/learner/predator_policy/learner_stats/total_loss,info/learner/predator_policy/learner_stats/policy_loss,info/learner/predator_policy/learner_stats/vf_loss,info/learner/predator_policy/learner_stats/vf_explained_var,info/learner/predator_policy/learner_stats/kl,info/learner/predator_policy/learner_stats/entropy,info/learner/predator_policy/learner_stats/entropy_coeff,info/learner/prey_policy/learner_stats/allreduce_latency,info/learner/prey_policy/learner_stats/grad_gnorm,info/learner/prey_policy/learner_stats/cur_kl_coeff,info/learner/prey_policy/learner_stats/cur_lr,info/learner/prey_policy/learner_stats/total_loss,info/learner/prey_policy/learner_stats/policy_loss,info/learner/prey_policy/learner_stats/vf_loss,info/learner/prey_policy/learner_stats/vf_explained_var,info/learner/prey_policy/learner_stats/kl,info/learner/prey_policy/learner_stats/entropy,info/learner/prey_policy/learner_stats/entropy_coeff
9,0,0,16000,16000,4000,4000,4000,4000,118.8974652502235,118.8974652502235,4000,4000,16000,4000,16000,False,1,60982_00000,2024-08-23_11-00-18,1724391018,33.698471784591675,33.698471784591675,64197,Joys-MacBook-Pro.local,127.0.0.1,33.698471784591675,1,4000,4000,16000,16000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,33642.445,0.035,33642.361,6734.089,26866.094,148.887,39.234,4000,4000,16000,16000,51.82857142857143,83.67142857142856,[],[],126.98412698412699,473.0,472.0,126.98412698412699,473.0,472.0,0.0,0.8585193586570246,0.2,0.00010000000000000003,5.59083064599012,-0.006990629337511207,5.596941822294205,0.011779138650843707,0.004397278949963274,1.606581535162749,0.0,0.0,1.4301154106697709,0.2,0.00010000000000000003,6.988983920263865,-0.008888091515532878,6.996870100939716,0.022403451689967404,0.005009604459283529,1.605715732851987,0.0
9,0,0,32000,32000,8000,8000,4000,4000,146.3783851997819,146.3783851997819,8000,8000,32000,4000,32000,False,2,60982_00000,2024-08-23_11-00-48,1724391048,27.36432385444641,61.062795639038086,64197,Joys-MacBook-Pro.local,127.0.0.1,61.062795639038086,2,8000,8000,32000,32000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,30484.452,0.035,30484.089,4514.658,25934.412,154.235,32.132,8000,8000,32000,32000,41.681395348837206,83.32093023255813,[],[],126.98412698412699,1418.0,472.0,126.98412698412699,1418.0,472.0,0.0,1.7427831492096029,0.1,0.00010000000000000003,3.98801993037027,-0.012871977170466115,4.0002201314956425,0.06789458353052695,0.006717727693640405,1.601480555912805,0.0,0.0,2.032718907714521,0.2,0.00010000000000000003,6.186383329623591,-0.01808787016198039,6.202886524906865,0.0718925499411487,0.007923449876609815,1.5984577668406976,0.0
9,0,0,48000,48000,12000,12000,4000,4000,39.023078358925794,39.023078358925794,12000,12000,48000,4000,48000,False,3,60982_00000,2024-08-23_11-02-30,1724391150,102.57685708999634,163.63965272903442,64197,Joys-MacBook-Pro.local,127.0.0.1,163.63965272903442,3,12000,12000,48000,48000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,54490.795,0.032,54490.342,3757.647,50623.133,79.015,104.32,12000,12000,48000,48000,66.54558823529412,85.03529411764706,[],[],126.98412698412699,2363.0,472.0,126.98412698412699,2363.0,472.0,0.0,1.789182873188503,0.1,0.00010000000000000003,3.4981252768683055,-0.013903095814148113,3.5111390033096233,0.10351787584799307,0.008893513040144055,1.5962598047559224,0.0,0.0,2.740184297195818,0.2,0.00010000000000000003,6.049207519854187,-0.01765837292655041,6.065089198521205,0.14801088514782135,0.008883363239605117,1.5870856508376106,0.0
9,0,0,64000,64000,16000,16000,4000,4000,149.4277623642333,149.4277623642333,16000,16000,64000,4000,64000,False,4,60982_00000,2024-08-23_11-02-57,1724391177,26.814524173736572,190.454176902771,64197,Joys-MacBook-Pro.local,127.0.0.1,190.454176902771,4,16000,16000,64000,64000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,47560.299,0.167,47559.747,3429.383,44042.289,90.822,83.277,16000,16000,64000,64000,36.47692307692307,83.48461538461538,[],[],126.98412698412699,3308.0,485.2299999999999,126.98412698412699,3308.0,485.2299999999999,0.0,1.8513004760262828,0.1,0.00010000000000000003,2.2549122143044045,-0.011622357348265944,2.265685399058004,0.09533253624325706,0.0084917654051746,1.5879395337331863,0.0,0.0,3.8203237207478318,0.2,0.00010000000000000003,6.371946791997032,-0.015337961271562905,6.385131538229644,0.19720331663807864,0.010766074154033233,1.5786562654707166,0.0
9,0,0,80000,80000,20000,20000,4000,4000,150.2555996022205,150.2555996022205,20000,20000,80000,4000,80000,False,5,60982_00000,2024-08-23_11-03-24,1724391204,26.650586128234863,217.10476303100586,64197,Joys-MacBook-Pro.local,127.0.0.1,217.10476303100586,5,20000,20000,80000,80000,333.0933590954111,333.0933590954111,333.0933590954111,400.0,400,0,1,333.0933590954111,333.0933590954111,333.0933590954111,1,43372.519,0.147,43372.039,3181.485,40117.095,99.708,69.103,20000,20000,80000,80000,31.02162162162162,83.35945945945946,[333.0933590954111],[400],126.98412698412699,4253.0,472.0,126.98412698412699,4253.0,472.0,0.0,2.0975201794079372,0.1,0.00010000000000000003,2.263933546076376,-0.01329047432681792,2.2765009922956034,0.10881867068154472,0.007230310393349519,1.5847306438224025,0.0,0.0,4.410105595260701,0.2,0.00010000000000000003,6.739445531935919,-0.017229298090749474,6.754341140625969,0.22534257722279383,0.011668435359009044,1.564504491336762,0.0
9,0,0,96000,96000,24000,24000,4000,4000,157.78950147050267,157.78950147050267,24000,24000,96000,4000,96000,False,6,60982_00000,2024-08-23_11-03-49,1724391229,25.358711004257202,242.46347403526306,64197,Joys-MacBook-Pro.local,127.0.0.1,242.46347403526306,6,24000,24000,96000,96000,333.0933590954111,288.2739863161097,315.8560255152844,400.0,1200,0,2,333.0933590954111,288.2739863161097,315.8560255152844,2,40368.805,0.125,40368.382,2996.292,37306.549,107.22,61.532,24000,24000,96000,96000,31.897222222222222,83.25833333333331,"[333.0933590954111, 326.20073113433233, 288.2739863161097]","[400, 400, 400]",126.98412698412699,5198.0,472.0,126.98412698412699,5198.0,472.0,0.0,2.7110635828719567,0.1,0.00010000000000000003,2.3560981166425834,-0.013637808250588556,2.3688382951040117,0.1717260797187765,0.008976281761738753,1.575076545230926,0.0,0.0,5.199460749714463,0.2,0.00010000000000000003,7.139262577339455,-0.012418476876521867,7.149675166417682,0.2738930413962672,0.010029517367442764,1.5538875709765803,0.0
9,0,0,112000,112000,28000,28000,4000,4000,154.59825662554474,154.59825662554474,28000,28000,112000,4000,112000,False,7,60982_00000,2024-08-23_11-04-15,1724391255,25.932507038116455,268.3959810733795,64197,Joys-MacBook-Pro.local,127.0.0.1,268.3959810733795,7,28000,28000,112000,112000,704.8246648621848,26.828115831948097,310.1957857742231,400.0,18400,0,43,704.8246648621848,26.828115831948097,310.1957857742231,43,38298.051,0.111,38297.666,2868.754,35369.309,113.092,55.706,28000,28000,112000,112000,32.662162162162176,83.39459459459462,"[333.0933590954111, 326.20073113433233, 288.2739863161097, 191.46798184929776, 126.00000000000003, 406.39999999999975, 283.2034625583003, 354.900000000001, 461.9000000000001, 237.43097980579543, 412.0380663395476, 151.19999999999987, 704.8246648621848, 170.5999999999997, 433.39999999999964, 282.29999999999825, 392.03506740031617, 388.79999999999984, 98.2827732227775, 250.4999999999985, 216.20433372427485, 137.18910549818204, 389.4344139586742, 368.89999999999975, 369.80000000000206, 257.48065446273927, 296.6592515657029, 360.0693063387815, 61.99962975960529, 272.69999999999914, 349.1000000000001, 252.9999999999989, 523.3054358923039, 26.828115831948097, 261.0133175564853, 394.17708412937304, 294.80000000000024, 299.7999999999994, 325.09999999999957, 284.0999999999996, 235.29999999999947, 325.1634021599799, 330.80000000000115, 377.5000000000002, 521.7827009260207, 443.9483212261259]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,6143.0,472.0,126.98412698412699,6143.0,472.0,0.0,2.562186356322475,0.1,0.00010000000000000003,2.6311633704200625,-0.01171080057987224,2.6418473405182046,0.15118436075392225,0.010268220544679376,1.5649433220505085,0.0,0.0,5.7587336339647806,0.2,0.00010000000000000003,7.21210709930097,-0.0125956664502463,7.223089606673629,0.29474199581398536,0.008065813008410038,1.5459076380603527,0.0
9,0,0,128000,128000,32000,32000,4000,4000,157.4337117080059,157.4337117080059,32000,32000,128000,4000,128000,False,8,60982_00000,2024-08-23_11-04-41,1724391281,25.44828987121582,293.84427094459534,64197,Joys-MacBook-Pro.local,127.0.0.1,293.84427094459534,8,32000,32000,128000,128000,704.8246648621848,26.828115831948097,329.5525181277806,400.0,28400,0,25,704.8246648621848,26.828115831948097,329.5525181277806,25,36686.736,0.099,36686.388,2789.678,33840.259,118.202,52.794,32000,32000,128000,128000,30.775000000000002,83.42777777777779,"[333.0933590954111, 326.20073113433233, 288.2739863161097, 191.46798184929776, 126.00000000000003, 406.39999999999975, 283.2034625583003, 354.900000000001, 461.9000000000001, 237.43097980579543, 412.0380663395476, 151.19999999999987, 704.8246648621848, 170.5999999999997, 433.39999999999964, 282.29999999999825, 392.03506740031617, 388.79999999999984, 98.2827732227775, 250.4999999999985, 216.20433372427485, 137.18910549818204, 389.4344139586742, 368.89999999999975, 369.80000000000206, 257.48065446273927, 296.6592515657029, 360.0693063387815, 61.99962975960529, 272.69999999999914, 349.1000000000001, 252.9999999999989, 523.3054358923039, 26.828115831948097, 261.0133175564853, 394.17708412937304, 294.80000000000024, 299.7999999999994, 325.09999999999957, 284.0999999999996, 235.29999999999947, 325.1634021599799, 330.80000000000115, 377.5000000000002, 521.7827009260207, 443.9483212261259, 317.20992052963584, 118.09536153444088, 494.6228446061742, 498.5017810439364, 385.8875599545833, 351.84508138574694, 259.2521346975889, 373.8202680815409, 327.8000000000002, 566.3999999999996, 335.3354504927672, 500.23830655009954, 59.30000000000057, 331.30197968584724, 608.6999999999999, 356.3000000000012, 404.77979419439606, 207.3195232153564, 325.2000000000006, 478.741230941515, 343.97140454453023, 343.69999999999965, 679.3000000000002, 340.40000000000083, 121.20000000000019]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,7088.0,485.2299999999996,126.98412698412699,7088.0,485.2299999999996,0.0,3.451960673407903,0.1,0.00010000000000000003,3.88076522993663,-0.01145675234033396,3.8911880051648176,0.14710919522734547,0.010339814025622906,1.545109955091325,0.0,0.0,6.192219389052618,0.2,0.00010000000000000003,7.172788857656812,-0.014456991592136325,7.185237126123337,0.29406148018660366,0.010043607732754142,1.500723430088588,0.0
9,0,0,144000,144000,36000,36000,4000,4000,153.04982446112663,153.04982446112663,36000,36000,144000,4000,144000,False,9,60982_00000,2024-08-23_11-05-07,1724391307,26.146734952926636,319.991005897522,64197,Joys-MacBook-Pro.local,127.0.0.1,319.991005897522,9,36000,36000,144000,144000,704.8246648621848,26.828115831948097,332.3101220426726,400.0,28800,0,1,704.8246648621848,26.828115831948097,332.3101220426726,1,35514.355,0.091,35514.034,2795.476,32665.634,122.453,49.456,36000,36000,144000,144000,33.05945945945946,83.2972972972973,"[333.0933590954111, 326.20073113433233, 288.2739863161097, 191.46798184929776, 126.00000000000003, 406.39999999999975, 283.2034625583003, 354.900000000001, 461.9000000000001, 237.43097980579543, 412.0380663395476, 151.19999999999987, 704.8246648621848, 170.5999999999997, 433.39999999999964, 282.29999999999825, 392.03506740031617, 388.79999999999984, 98.2827732227775, 250.4999999999985, 216.20433372427485, 137.18910549818204, 389.4344139586742, 368.89999999999975, 369.80000000000206, 257.48065446273927, 296.6592515657029, 360.0693063387815, 61.99962975960529, 272.69999999999914, 349.1000000000001, 252.9999999999989, 523.3054358923039, 26.828115831948097, 261.0133175564853, 394.17708412937304, 294.80000000000024, 299.7999999999994, 325.09999999999957, 284.0999999999996, 235.29999999999947, 325.1634021599799, 330.80000000000115, 377.5000000000002, 521.7827009260207, 443.9483212261259, 317.20992052963584, 118.09536153444088, 494.6228446061742, 498.5017810439364, 385.8875599545833, 351.84508138574694, 259.2521346975889, 373.8202680815409, 327.8000000000002, 566.3999999999996, 335.3354504927672, 500.23830655009954, 59.30000000000057, 331.30197968584724, 608.6999999999999, 356.3000000000012, 404.77979419439606, 207.3195232153564, 325.2000000000006, 478.741230941515, 343.97140454453023, 343.69999999999965, 679.3000000000002, 340.40000000000083, 121.20000000000019, 528.0999999999995]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,8033.0,472.0,126.98412698412699,8033.0,472.0,0.0,3.349911548725512,0.1,0.00010000000000000003,4.389612566226374,-0.01598534957165756,4.404355923839347,0.14293483918306057,0.012419950175862858,1.5209167393427045,0.0,0.0,6.515391989485927,0.2,0.00010000000000000003,6.960140102628678,-0.01364390926125149,6.971922053988018,0.2462977134361469,0.009309759602522252,1.5000641168109954,0.0
9,0,0,160000,160000,40000,40000,4000,4000,159.322225370366,159.322225370366,40000,40000,160000,4000,160000,False,10,60982_00000,2024-08-23_11-05-32,1724391332,25.131541967391968,345.12254786491394,64197,Joys-MacBook-Pro.local,127.0.0.1,345.12254786491394,10,40000,40000,160000,160000,704.8246648621848,26.828115831948097,332.3101220426726,400.0,28800,0,0,704.8246648621848,26.828115831948097,332.3101220426726,0,34473.558,0.084,34473.261,2715.052,31708.65,126.149,46.151,40000,40000,160000,160000,28.572222222222226,82.96944444444442,"[333.0933590954111, 326.20073113433233, 288.2739863161097, 191.46798184929776, 126.00000000000003, 406.39999999999975, 283.2034625583003, 354.900000000001, 461.9000000000001, 237.43097980579543, 412.0380663395476, 151.19999999999987, 704.8246648621848, 170.5999999999997, 433.39999999999964, 282.29999999999825, 392.03506740031617, 388.79999999999984, 98.2827732227775, 250.4999999999985, 216.20433372427485, 137.18910549818204, 389.4344139586742, 368.89999999999975, 369.80000000000206, 257.48065446273927, 296.6592515657029, 360.0693063387815, 61.99962975960529, 272.69999999999914, 349.1000000000001, 252.9999999999989, 523.3054358923039, 26.828115831948097, 261.0133175564853, 394.17708412937304, 294.80000000000024, 299.7999999999994, 325.09999999999957, 284.0999999999996, 235.29999999999947, 325.1634021599799, 330.80000000000115, 377.5000000000002, 521.7827009260207, 443.9483212261259, 317.20992052963584, 118.09536153444088, 494.6228446061742, 498.5017810439364, 385.8875599545833, 351.84508138574694, 259.2521346975889, 373.8202680815409, 327.8000000000002, 566.3999999999996, 335.3354504927672, 500.23830655009954, 59.30000000000057, 331.30197968584724, 608.6999999999999, 356.3000000000012, 404.77979419439606, 207.3195232153564, 325.2000000000006, 478.741230941515, 343.97140454453023, 343.69999999999965, 679.3000000000002, 340.40000000000083, 121.20000000000019, 528.0999999999995]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",126.98412698412699,8978.0,472.0,126.98412698412699,8978.0,472.0,0.0,4.750746336563554,0.1,0.00010000000000000003,4.4245211091621846,-0.01034665863872284,4.433779634495892,0.18173434866799248,0.010881420066235242,1.5168893816609863,0.0,0.0,6.328486421877745,0.2,0.00010000000000000003,6.868905470106337,-0.014670010375736094,6.881526024127132,0.2878653873842229,0.010247356539207792,1.4957562658521864,0.0
