episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/policy_0/learner_stats/cur_kl_coeff,info/learner/policy_0/learner_stats/cur_lr,info/learner/policy_0/learner_stats/total_loss,info/learner/policy_0/learner_stats/policy_loss,info/learner/policy_0/learner_stats/vf_loss,info/learner/policy_0/learner_stats/vf_explained_var,info/learner/policy_0/learner_stats/kl,info/learner/policy_0/learner_stats/entropy,info/learner/policy_0/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,9,0,0,40000,40000,4000,4000,4000,4000,6.236135579583867,6.236135579583867,4000,4000,40000,False,0,1,f2364_00000,2023-11-30_09-19-41,1701353981,641.4279937744141,641.4279937744141,50391,Joys-MacBook-Pro.local,127.0.0.1,641.4279937744141,1,4000,4000,40000,40000,nan,nan,nan,nan,0,0,[],[],641422.791,6962.166,634274.926,6.306,94.022,4000,4000,40000,40000,20.482527472527472,82.97054945054947,[],[],0.20000000298023224,4.999999873689376e-05,0.88822335,-0.052654788,0.9368602,0.23185611,0.020089502,1.5874654,0.0
nan,nan,nan,nan,0,0,9,0,0,80000,80000,8000,8000,4000,4000,6.2625872318652895,6.2625872318652895,8000,4000,80000,False,0,2,f2364_00000,2023-11-30_09-30-20,1701354620,638.7952661514282,1280.2232599258423,50391,Joys-MacBook-Pro.local,127.0.0.1,1280.2232599258423,2,8000,8000,80000,80000,nan,nan,nan,nan,0,0,[],[],640068.185,6736.505,633157.788,6.318,119.003,8000,8000,80000,80000,22.506394707828004,82.59140022050718,[],[],0.30000001192092896,4.999999873689376e-05,0.16003737,-0.051133968,0.20690715,0.4572757,0.014213895,1.5721757,0.0
nan,nan,nan,nan,0,0,9,0,0,120000,120000,12000,12000,4000,4000,6.341472632582095,6.341472632582095,12000,4000,120000,False,0,3,f2364_00000,2023-11-30_09-40-51,1701355251,630.7894608974457,1911.012720823288,50391,Joys-MacBook-Pro.local,127.0.0.1,1911.012720823288,3,12000,12000,120000,120000,nan,nan,nan,nan,0,0,[],[],636968.214,6719.656,630090.185,6.348,115.942,12000,12000,120000,120000,17.548603351955308,82.96201117318435,[],[],0.30000001192092896,4.999999873689376e-05,-0.0024518091,-0.07931358,0.07030379,0.7129931,0.021859925,1.5521992,0.0
15.0,-136.0,-21.73611111111111,201.0,72,0,9,0,0,160000,160000,16000,16000,4000,4000,6.36231169104383,6.36231169104383,16000,4000,160000,False,72,4,f2364_00000,2023-11-30_09-51-20,1701355880,628.7527537345886,2539.7654745578766,50391,Joys-MacBook-Pro.local,127.0.0.1,2539.7654745578766,4,16000,16000,160000,160000,15.0,-136.0,-21.73611111111111,201.0,72,0,"[-136.0, 1.0, -5.0, -46.0, 12.0, -7.0, 11.0, 8.0, -19.0, -12.0, -7.0, -18.0, -12.0, 11.0, -30.0, -22.0, -11.0, -94.0, -61.0, -12.0, -18.0, 12.0, -31.0, -33.0, -7.0, -15.0, -17.0, 9.0, -34.0, -15.0, -2.0, 3.0, -56.0, 4.0, -27.0, -6.0, 13.0, -17.0, -16.0, -6.0, -14.0, 2.0, -41.0, 10.0, 11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",634901.725,6586.372,628168.802,6.368,111.216,16000,16000,160000,160000,20.135280898876406,82.60460674157304,"[-136.0, 1.0, -5.0, -46.0, 12.0, -7.0, 11.0, 8.0, -19.0, -12.0, -7.0, -18.0, -12.0, 11.0, -30.0, -22.0, -11.0, -94.0, -61.0, -12.0, -18.0, 12.0, -31.0, -33.0, -7.0, -15.0, -17.0, 9.0, -34.0, -15.0, -2.0, 3.0, -56.0, 4.0, -27.0, -6.0, 13.0, -17.0, -16.0, -6.0, -14.0, 2.0, -41.0, 10.0, 11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",0.44999998807907104,4.999999873689376e-05,-0.08686034,-0.1198858,0.021113925,0.91095954,0.026470097,1.5161024,0.0
15.0,-136.0,-21.73611111111111,201.0,0,0,9,0,0,200000,200000,20000,20000,4000,4000,6.364220704872921,6.364220704872921,20000,4000,200000,False,72,5,f2364_00000,2023-11-30_10-01-48,1701356508,628.5476009845734,3168.31307554245,50391,Joys-MacBook-Pro.local,127.0.0.1,3168.31307554245,5,20000,20000,200000,200000,15.0,-136.0,-21.73611111111111,201.0,0,0,"[-136.0, 1.0, -5.0, -46.0, 12.0, -7.0, 11.0, 8.0, -19.0, -12.0, -7.0, -18.0, -12.0, 11.0, -30.0, -22.0, -11.0, -94.0, -61.0, -12.0, -18.0, 12.0, -31.0, -33.0, -7.0, -15.0, -17.0, 9.0, -34.0, -15.0, -2.0, 3.0, -56.0, 4.0, -27.0, -6.0, 13.0, -17.0, -16.0, -6.0, -14.0, 2.0, -41.0, 10.0, 11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",633624.084,6524.591,626968.853,6.38,98.733,20000,20000,200000,200000,16.998766816143497,82.28755605381166,"[-136.0, 1.0, -5.0, -46.0, 12.0, -7.0, 11.0, 8.0, -19.0, -12.0, -7.0, -18.0, -12.0, 11.0, -30.0, -22.0, -11.0, -94.0, -61.0, -12.0, -18.0, 12.0, -31.0, -33.0, -7.0, -15.0, -17.0, 9.0, -34.0, -15.0, -2.0, 3.0, -56.0, 4.0, -27.0, -6.0, 13.0, -17.0, -16.0, -6.0, -14.0, 2.0, -41.0, 10.0, 11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",0.675000011920929,4.999999873689376e-05,-0.090320274,-0.13257127,0.024718143,0.86036915,0.025974566,1.4925115,0.0
15.0,-136.0,-21.73611111111111,201.0,0,0,9,0,0,240000,240000,24000,24000,4000,4000,6.393691797586568,6.393691797586568,24000,4000,240000,False,72,6,f2364_00000,2023-11-30_10-12-14,1701357134,625.6554262638092,3793.968501806259,50391,Joys-MacBook-Pro.local,127.0.0.1,3793.968501806259,6,24000,24000,240000,240000,15.0,-136.0,-21.73611111111111,201.0,0,0,"[-136.0, 1.0, -5.0, -46.0, 12.0, -7.0, 11.0, 8.0, -19.0, -12.0, -7.0, -18.0, -12.0, 11.0, -30.0, -22.0, -11.0, -94.0, -61.0, -12.0, -18.0, 12.0, -31.0, -33.0, -7.0, -15.0, -17.0, 9.0, -34.0, -15.0, -2.0, 3.0, -56.0, 4.0, -27.0, -6.0, 13.0, -17.0, -16.0, -6.0, -14.0, 2.0, -41.0, 10.0, 11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",632289.505,6494.607,625665.056,6.393,99.298,24000,24000,240000,240000,18.110180995475112,81.3143665158371,"[-136.0, 1.0, -5.0, -46.0, 12.0, -7.0, 11.0, 8.0, -19.0, -12.0, -7.0, -18.0, -12.0, 11.0, -30.0, -22.0, -11.0, -94.0, -61.0, -12.0, -18.0, 12.0, -31.0, -33.0, -7.0, -15.0, -17.0, 9.0, -34.0, -15.0, -2.0, 3.0, -56.0, 4.0, -27.0, -6.0, 13.0, -17.0, -16.0, -6.0, -14.0, 2.0, -41.0, 10.0, 11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",1.0125000476837158,4.999999873689376e-05,-0.0916814,-0.1359082,0.021816311,0.93783385,0.022133822,1.4800797,0.0
15.0,-136.0,-21.73611111111111,201.0,0,0,9,0,0,280000,280000,28000,28000,4000,4000,6.383266294097873,6.383266294097873,28000,4000,280000,False,72,7,f2364_00000,2023-11-30_10-22-41,1701357761,626.6960198879242,4420.664521694183,50391,Joys-MacBook-Pro.local,127.0.0.1,4420.664521694183,7,28000,28000,280000,280000,15.0,-136.0,-21.73611111111111,201.0,0,0,"[-136.0, 1.0, -5.0, -46.0, 12.0, -7.0, 11.0, 8.0, -19.0, -12.0, -7.0, -18.0, -12.0, 11.0, -30.0, -22.0, -11.0, -94.0, -61.0, -12.0, -18.0, 12.0, -31.0, -33.0, -7.0, -15.0, -17.0, 9.0, -34.0, -15.0, -2.0, 3.0, -56.0, 4.0, -27.0, -6.0, 13.0, -17.0, -16.0, -6.0, -14.0, 2.0, -41.0, 10.0, 11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",631482.204,6444.662,624889.216,6.401,119.981,28000,28000,280000,280000,17.138870056497176,82.26768361581921,"[-136.0, 1.0, -5.0, -46.0, 12.0, -7.0, 11.0, 8.0, -19.0, -12.0, -7.0, -18.0, -12.0, 11.0, -30.0, -22.0, -11.0, -94.0, -61.0, -12.0, -18.0, 12.0, -31.0, -33.0, -7.0, -15.0, -17.0, 9.0, -34.0, -15.0, -2.0, 3.0, -56.0, 4.0, -27.0, -6.0, 13.0, -17.0, -16.0, -6.0, -14.0, 2.0, -41.0, 10.0, 11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",1.5187499523162842,4.999999873689376e-05,-0.08185194,-0.13436806,0.025221204,0.9385708,0.017971972,1.4683378,0.0
32.0,-134.0,6.14,201.0,72,0,9,0,0,320000,320000,32000,32000,4000,4000,6.405100780819569,6.405100780819569,32000,4000,320000,False,144,8,f2364_00000,2023-11-30_10-33-05,1701358385,624.5249228477478,5045.189444541931,50391,Joys-MacBook-Pro.local,127.0.0.1,5045.189444541931,8,32000,32000,320000,320000,32.0,-134.0,6.14,201.0,72,0,"[11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0, 20.0, 29.0, 16.0, 15.0, 25.0, 25.0, 12.0, 19.0, 23.0, 19.0, 13.0, 18.0, 16.0, 21.0, 13.0, 24.0, 9.0, 15.0, 19.0, 25.0, 21.0, 25.0, 20.0, 19.0, 23.0, 20.0, 21.0, 22.0, 19.0, 24.0, 17.0, 22.0, 18.0, 20.0, 19.0, 12.0, 19.0, 15.0, 22.0, 10.0, 17.0, 20.0, 22.0, 16.0, 32.0, 28.0, 18.0, 18.0, 22.0, 22.0, 19.0, 23.0, 25.0, 22.0, 22.0, 20.0, 25.0, 22.0, 24.0, 29.0, 16.0, 24.0, 15.0, 15.0, 21.0, 23.0, 30.0, 14.0, 14.0, 18.0, 14.0, 14.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",630609.708,6373.757,624091.95,6.409,117.236,32000,32000,320000,320000,16.207256235827664,82.18956916099775,"[11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0, 20.0, 29.0, 16.0, 15.0, 25.0, 25.0, 12.0, 19.0, 23.0, 19.0, 13.0, 18.0, 16.0, 21.0, 13.0, 24.0, 9.0, 15.0, 19.0, 25.0, 21.0, 25.0, 20.0, 19.0, 23.0, 20.0, 21.0, 22.0, 19.0, 24.0, 17.0, 22.0, 18.0, 20.0, 19.0, 12.0, 19.0, 15.0, 22.0, 10.0, 17.0, 20.0, 22.0, 16.0, 32.0, 28.0, 18.0, 18.0, 22.0, 22.0, 19.0, 23.0, 25.0, 22.0, 22.0, 20.0, 25.0, 22.0, 24.0, 29.0, 16.0, 24.0, 15.0, 15.0, 21.0, 23.0, 30.0, 14.0, 14.0, 18.0, 14.0, 14.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",1.5187499523162842,4.999999873689376e-05,-0.02804545,-0.10669715,0.05618693,0.8236579,0.014791623,1.440993,0.0
32.0,-134.0,6.14,201.0,0,0,9,0,0,360000,360000,36000,36000,4000,4000,6.402908753046976,6.402908753046976,36000,4000,360000,False,144,9,f2364_00000,2023-11-30_10-43-30,1701359010,624.7284669876099,5669.917911529541,50391,Joys-MacBook-Pro.local,127.0.0.1,5669.917911529541,9,36000,36000,360000,360000,32.0,-134.0,6.14,201.0,0,0,"[11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0, 20.0, 29.0, 16.0, 15.0, 25.0, 25.0, 12.0, 19.0, 23.0, 19.0, 13.0, 18.0, 16.0, 21.0, 13.0, 24.0, 9.0, 15.0, 19.0, 25.0, 21.0, 25.0, 20.0, 19.0, 23.0, 20.0, 21.0, 22.0, 19.0, 24.0, 17.0, 22.0, 18.0, 20.0, 19.0, 12.0, 19.0, 15.0, 22.0, 10.0, 17.0, 20.0, 22.0, 16.0, 32.0, 28.0, 18.0, 18.0, 22.0, 22.0, 19.0, 23.0, 25.0, 22.0, 22.0, 20.0, 25.0, 22.0, 24.0, 29.0, 16.0, 24.0, 15.0, 15.0, 21.0, 23.0, 30.0, 14.0, 14.0, 18.0, 14.0, 14.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",629954.855,6355.62,623458.114,6.416,115.23,36000,36000,360000,360000,17.897052154195013,82.10283446712019,"[11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0, 20.0, 29.0, 16.0, 15.0, 25.0, 25.0, 12.0, 19.0, 23.0, 19.0, 13.0, 18.0, 16.0, 21.0, 13.0, 24.0, 9.0, 15.0, 19.0, 25.0, 21.0, 25.0, 20.0, 19.0, 23.0, 20.0, 21.0, 22.0, 19.0, 24.0, 17.0, 22.0, 18.0, 20.0, 19.0, 12.0, 19.0, 15.0, 22.0, 10.0, 17.0, 20.0, 22.0, 16.0, 32.0, 28.0, 18.0, 18.0, 22.0, 22.0, 19.0, 23.0, 25.0, 22.0, 22.0, 20.0, 25.0, 22.0, 24.0, 29.0, 16.0, 24.0, 15.0, 15.0, 21.0, 23.0, 30.0, 14.0, 14.0, 18.0, 14.0, 14.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",1.5187499523162842,4.999999873689376e-05,-0.06356531,-0.13013017,0.03965758,0.9085923,0.017716734,1.4354889,0.0
32.0,-134.0,6.14,201.0,0,0,9,0,0,400000,400000,40000,40000,4000,4000,6.400795296569226,6.400795296569226,40000,4000,400000,False,144,10,f2364_00000,2023-11-30_10-53-55,1701359635,624.9439809322357,6294.861892461777,50391,Joys-MacBook-Pro.local,127.0.0.1,6294.861892461777,10,40000,40000,400000,400000,32.0,-134.0,6.14,201.0,0,0,"[11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0, 20.0, 29.0, 16.0, 15.0, 25.0, 25.0, 12.0, 19.0, 23.0, 19.0, 13.0, 18.0, 16.0, 21.0, 13.0, 24.0, 9.0, 15.0, 19.0, 25.0, 21.0, 25.0, 20.0, 19.0, 23.0, 20.0, 21.0, 22.0, 19.0, 24.0, 17.0, 22.0, 18.0, 20.0, 19.0, 12.0, 19.0, 15.0, 22.0, 10.0, 17.0, 20.0, 22.0, 16.0, 32.0, 28.0, 18.0, 18.0, 22.0, 22.0, 19.0, 23.0, 25.0, 22.0, 22.0, 20.0, 25.0, 22.0, 24.0, 29.0, 16.0, 24.0, 15.0, 15.0, 21.0, 23.0, 30.0, 14.0, 14.0, 18.0, 14.0, 14.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",629451.6,6321.645,622995.608,6.421,109.977,40000,40000,400000,400000,16.12925170068027,82.44240362811793,"[11.0, -82.0, -18.0, -27.0, -79.0, 15.0, -78.0, -43.0, -73.0, 9.0, -53.0, 6.0, -31.0, -32.0, -5.0, -13.0, -9.0, -6.0, 7.0, -37.0, -37.0, -5.0, -13.0, -134.0, -26.0, -29.0, -23.0, -9.0, 20.0, 29.0, 16.0, 15.0, 25.0, 25.0, 12.0, 19.0, 23.0, 19.0, 13.0, 18.0, 16.0, 21.0, 13.0, 24.0, 9.0, 15.0, 19.0, 25.0, 21.0, 25.0, 20.0, 19.0, 23.0, 20.0, 21.0, 22.0, 19.0, 24.0, 17.0, 22.0, 18.0, 20.0, 19.0, 12.0, 19.0, 15.0, 22.0, 10.0, 17.0, 20.0, 22.0, 16.0, 32.0, 28.0, 18.0, 18.0, 22.0, 22.0, 19.0, 23.0, 25.0, 22.0, 22.0, 20.0, 25.0, 22.0, 24.0, 29.0, 16.0, 24.0, 15.0, 15.0, 21.0, 23.0, 30.0, 14.0, 14.0, 18.0, 14.0, 14.0]","[201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201, 201]",1.5187499523162842,4.999999873689376e-05,-0.045445908,-0.13618003,0.06386205,0.88869154,0.017693548,1.4280066,0.0
