num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/predator_policy/num_agent_steps_trained,info/learner/predator_policy/num_grad_updates_lifetime,info/learner/predator_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/prey_policy/num_agent_steps_trained,info/learner/prey_policy/num_grad_updates_lifetime,info/learner/prey_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/predator_policy/learner_stats/allreduce_latency,info/learner/predator_policy/learner_stats/grad_gnorm,info/learner/predator_policy/learner_stats/cur_kl_coeff,info/learner/predator_policy/learner_stats/cur_lr,info/learner/predator_policy/learner_stats/total_loss,info/learner/predator_policy/learner_stats/policy_loss,info/learner/predator_policy/learner_stats/vf_loss,info/learner/predator_policy/learner_stats/vf_explained_var,info/learner/predator_policy/learner_stats/kl,info/learner/predator_policy/learner_stats/entropy,info/learner/predator_policy/learner_stats/entropy_coeff,info/learner/prey_policy/learner_stats/allreduce_latency,info/learner/prey_policy/learner_stats/grad_gnorm,info/learner/prey_policy/learner_stats/cur_kl_coeff,info/learner/prey_policy/learner_stats/cur_lr,info/learner/prey_policy/learner_stats/total_loss,info/learner/prey_policy/learner_stats/policy_loss,info/learner/prey_policy/learner_stats/vf_loss,info/learner/prey_policy/learner_stats/vf_explained_var,info/learner/prey_policy/learner_stats/kl,info/learner/prey_policy/learner_stats/entropy,info/learner/prey_policy/learner_stats/entropy_coeff
9,0,0,31639,31639,4000,4000,4000,4000,75.7283475120956,75.7283475120956,4000,4000,31639,4000,31639,False,1,4e4d5_00000,2024-09-02_17-15-57,1725277557,52.874911069869995,52.874911069869995,42314,Joys-MacBook-Pro.local,127.0.0.1,52.874911069869995,1,4000,4000,31639,31639,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,52820.397,0.024,52820.205,5585.095,47216.876,84.715,12.55,4000,4000,31639,31639,38.74473684210526,83.35789473684211,[],[],127.65957446808511,705.5,704.5,127.52597402597402,1155.5,1154.5,0.0,1.1954459940922175,0.2,0.0010000000000000002,2.3464223464330036,0.0018683506986654714,2.3405863332410233,0.0003382714927619231,0.019838308092497342,1.6061089584167967,0.0,0.0,3.1373625450320057,0.19999999999999998,0.0010000000000000002,5.046657285958657,-0.0036811204844868026,5.047435786610558,-0.00938718749847247,0.014513075305350544,1.6065379171660452,0.0
9,0,0,62631,62631,8000,8000,4000,4000,76.96155950103588,76.96155950103588,8000,8000,62631,4000,62631,False,2,4e4d5_00000,2024-09-02_17-16-52,1725277612,52.000113010406494,104.87502408027649,42314,Joys-MacBook-Pro.local,127.0.0.1,104.87502408027649,2,8000,8000,62631,62631,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,52397.212,0.027,52397.067,5591.815,46783.872,85.5,14.176,8000,8000,62631,62631,37.170512820512826,83.16153846153847,[],[],127.65957446808511,2115.5,704.5,127.46308724832215,3428.0,1117.0,0.0,1.6457425296729338,0.2,0.0009686773900000002,2.0606800600146573,-0.011209394725317016,2.069354086691606,0.04451746725021525,0.012676854683779814,1.5991727259987636,0.0,0.0,4.329310443657357,0.19999999999999998,0.0009686773900000004,4.942589538796103,-0.01550736216472991,4.955283821242501,0.10831030953917194,0.014065421851647714,1.5951487514529985,0.0
9,0,0,92820,92820,12000,12000,4000,4000,81.65506003058952,81.65506003058952,12000,12000,92820,4000,92820,False,3,4e4d5_00000,2024-09-02_17-17-41,1725277661,49.01114225387573,153.88616633415222,42314,Joys-MacBook-Pro.local,127.0.0.1,153.88616633415222,3,12000,12000,92820,92820,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,51260.328,0.022,51260.217,4725.348,46514.11,85.995,15.091,12000,12000,92820,92820,41.278260869565216,83.27101449275364,[],[],127.65957446808511,3525.5,704.5,127.1958041958042,5618.0,1072.0,0.0,1.86674606931125,0.2,0.0009379953099999999,1.6091421377997026,-0.024870813834474335,1.6313289798320607,0.0733680434683536,0.013419872294312197,1.5895823530271544,0.0,0.0,5.839870787889529,0.19999999999999998,0.00093799531,5.642400568626422,-0.024634514667423734,5.6638223038964615,0.21371569191659248,0.01606391789673856,1.5788833066855832,0.0
9,0,0,122523,122523,16000,16000,4000,4000,84.97972530005316,84.97972530005316,16000,16000,122523,4000,122523,False,4,4e4d5_00000,2024-09-02_17-18-28,1725277708,47.12054991722107,201.0067162513733,42314,Joys-MacBook-Pro.local,127.0.0.1,201.0067162513733,4,16000,16000,122523,122523,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,50212.761,0.021,50212.666,4252.457,45940.19,87.07,14.753,16000,16000,122523,122523,43.4560606060606,83.12727272727273,[],[],127.65957446808511,4935.5,704.5,127.35971223021583,7733.0,1042.0,0.0,2.074407906270196,0.2,0.0009081082000000004,1.6931703581032178,-0.026748920981078707,1.7163810095888503,0.08876689300469473,0.017691373399372958,1.574614110567891,0.0,0.0,6.247979923003583,0.2,0.0009081082000000003,6.320277134234385,-0.026903751597692854,6.343424899743901,0.2866079391907159,0.018779852249541228,1.5607856534367843,0.0
9,0,0,151587,151587,20000,20000,4000,4000,88.23495412498859,88.23495412498859,20000,20000,151587,4000,151587,False,5,4e4d5_00000,2024-09-02_17-19-13,1725277753,45.373005867004395,246.37972211837769,42314,Joys-MacBook-Pro.local,127.0.0.1,246.37972211837769,5,20000,20000,151587,151587,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,49236.912,0.02,49236.826,3923.274,45293.502,88.313,14.96,20000,20000,151587,151587,41.43538461538461,83.04923076923077,[],[],127.65957446808511,6345.5,704.5,127.34328358208955,9780.5,1004.5,0.0,1.9676477516373845,0.2,0.00087870223,1.6043300843407922,-0.032387675436755234,1.6329488492181115,0.15012084211863524,0.018844545363111698,1.558589398945477,0.0,0.0,6.828484960397085,0.20000000000000004,0.0008787022300000003,6.9887632654674015,-0.028876596660381042,7.013221020010573,0.29025007765091476,0.022094179201519015,1.548298835457854,0.0
9,0,0,180450,180450,24000,24000,4000,4000,88.73191628536816,88.73191628536816,24000,24000,180450,4000,180450,False,6,4e4d5_00000,2024-09-02_17-19-59,1725277799,45.125072956085205,291.5047950744629,42314,Joys-MacBook-Pro.local,127.0.0.1,291.5047950744629,6,24000,24000,180450,180450,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,48544.03,0.019,48543.946,3694.787,44829.178,89.228,14.549,24000,24000,180450,180450,42.607936507936515,83.08571428571429,[],[],127.65957446808511,7755.5,704.5,127.75,11775.5,989.5,0.0,2.0625061903439517,0.2,0.00084992887,1.8201633481269186,-0.03736451284741943,1.8532761159518085,0.13459489413187015,0.02125871348663742,1.5408402445468496,0.0,0.0,7.153052810827891,0.29999999999999993,0.0008499288700000001,7.62975157487272,-0.038579272823949164,7.661108643358404,0.24875435019382322,0.02407404642382806,1.5254742608527945,0.0
9,0,0,208684,208684,28000,28000,4000,4000,91.3328008186606,91.3328008186606,28000,28000,208684,4000,208684,False,7,4e4d5_00000,2024-09-02_17-20-42,1725277842,43.823582887649536,335.3283779621124,42314,Joys-MacBook-Pro.local,127.0.0.1,335.3283779621124,7,28000,28000,208684,208684,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,47865.724,0.019,47865.641,3542.655,44303.048,90.287,14.618,28000,28000,208684,208684,40.15483870967742,83.0290322580645,[],[],127.65957446808511,9165.5,704.5,127.8267716535433,13718.0,952.0,0.0,2.3440016794289256,0.3,0.0008213544999999999,2.441080419814333,-0.041907711332855445,2.4760047053614405,0.17444170557015332,0.023278109004047323,1.5177935280698411,0.0,0.0,7.797984667087165,0.4500000000000001,0.0008213544999999997,8.100096029246574,-0.04573892057113095,8.13518871823008,0.24774992553580777,0.0236582675337635,1.5067806749519088,0.0
9,0,0,235930,235930,32000,32000,4000,4000,94.6106285340685,94.6106285340685,32000,32000,235930,4000,235930,False,8,4e4d5_00000,2024-09-02_17-21-25,1725277885,42.31829309463501,377.64667105674744,42314,Joys-MacBook-Pro.local,127.0.0.1,377.64667105674744,8,32000,32000,235930,235930,1672.6148955677595,617.2068500601328,1048.5747912208399,400.0,6400,0,16,1672.6148955677595,617.2068500601328,1048.5747912208399,16,47167.334,0.019,47167.243,3429.895,43716.674,91.498,15.46,32000,32000,235930,235930,41.63666666666666,83.03666666666666,"[1086.0045933539984, 1016.2130646268652, 1182.5398205057127, 1417.1030256873369, 617.2068500601328, 1672.6148955677595, 1070.2887531968242, 771.7129497333603, 1142.530247803717, 905.8726877267239, 945.3635390862618, 1019.9865601553869, 814.2900968400351, 1258.1296596434368, 963.7399155458838, 893.6000000000013]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.65957446808511,10575.5,704.5,127.05,15570.5,899.5,0.0,2.7749939834817927,0.45000000000000007,0.0007934028400000003,2.8690748888550077,-0.04242736707789929,2.902609203301423,0.16025815525798934,0.019762342457217,1.488748152120739,0.0,0.0,8.139829323689144,0.675,0.0007934028400000002,8.479766961203682,-0.04607095430035972,8.511490104993184,0.2156172916624281,0.021256004088144334,1.4866532331042819,0.0
9,0,0,263404,263404,36000,36000,4000,4000,91.38127447986604,91.38127447986604,36000,36000,263404,4000,263404,False,9,4e4d5_00000,2024-09-02_17-22-09,1725277929,43.79399514198303,421.44066619873047,42314,Joys-MacBook-Pro.local,127.0.0.1,421.44066619873047,9,36000,36000,263404,263404,1672.6148955677595,370.95580793512255,925.176843507467,399.4307692307692,25963,0,49,1672.6148955677595,370.95580793512255,925.176843507467,49,46790.154,0.022,46790.047,3446.795,43321.449,92.333,16.637,36000,36000,263404,263404,42.0516129032258,83.07580645161292,"[1086.0045933539984, 1016.2130646268652, 1182.5398205057127, 1417.1030256873369, 617.2068500601328, 1672.6148955677595, 1070.2887531968242, 771.7129497333603, 1142.530247803717, 905.8726877267239, 945.3635390862618, 1019.9865601553869, 814.2900968400351, 1258.1296596434368, 963.7399155458838, 893.6000000000013, 1408.2000000000053, 775.6294864448703, 1265.0000000000011, 851.5363529403414, 1043.9084736860834, 813.9017393911037, 1158.6459577807377, 1147.6148461057219, 744.676994338012, 500.19875321112465, 740.0749635766795, 1282.0537626106627, 926.4409807906777, 1014.7124597455575, 858.6781666869875, 590.0884076884511, 786.8807200543488, 590.7869382521142, 736.8419707185551, 600.1730820955443, 656.5386766762617, 1062.9046799644009, 763.6684607813528, 823.8984102898509, 1136.0214143217872, 636.8106886890425, 662.8777874037822, 370.95580793512255, 1020.6844255575284, 1158.3341042121424, 693.476693751144, 908.7531382684042, 1331.694927071952, 929.9192704230077, 496.0323465917227, 1614.4259498882798, 1090.5000000000055, 576.2744455978583, 1105.2710649006754, 660.3320883032239, 1360.2566518638403, 1086.5620827445623, 770.652089124867, 907.5315971781398, 489.4000000000054, 885.9000000000106, 679.4680251439985, 694.1444593489302, 949.9648263024453]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 390, 400, 400, 373, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.65957446808511,11985.5,704.5,127.88429752066116,17378.0,907.0,0.0,2.620640011882106,0.45000000000000007,0.0007664292999999999,3.14400518329431,-0.040619109321801745,3.176241420600431,0.18544442142155154,0.01862862518433719,1.483496569572611,0.0,0.0,9.129577872772847,1.0124999999999997,0.0007664292999999998,8.214360455442066,-0.04633670630082283,8.242514234337925,0.25763779799800274,0.017958424733977345,1.480813021633579,0.0
9,0,0,293051,293051,40000,40000,4000,4000,85.56481547461152,85.56481547461152,40000,40000,293051,4000,293051,False,10,4e4d5_00000,2024-09-02_17-22-55,1725277975,46.77935814857483,468.2200243473053,42314,Joys-MacBook-Pro.local,127.0.0.1,468.2200243473053,10,40000,40000,293051,293051,1672.6148955677595,370.95580793512255,904.4317839177679,399.5888888888889,35963,0,25,1672.6148955677595,370.95580793512255,904.4317839177679,25,46785.965,0.031,46785.847,3400.076,43364.364,92.242,16.407,40000,40000,293051,293051,42.128787878787875,82.92727272727272,"[1086.0045933539984, 1016.2130646268652, 1182.5398205057127, 1417.1030256873369, 617.2068500601328, 1672.6148955677595, 1070.2887531968242, 771.7129497333603, 1142.530247803717, 905.8726877267239, 945.3635390862618, 1019.9865601553869, 814.2900968400351, 1258.1296596434368, 963.7399155458838, 893.6000000000013, 1408.2000000000053, 775.6294864448703, 1265.0000000000011, 851.5363529403414, 1043.9084736860834, 813.9017393911037, 1158.6459577807377, 1147.6148461057219, 744.676994338012, 500.19875321112465, 740.0749635766795, 1282.0537626106627, 926.4409807906777, 1014.7124597455575, 858.6781666869875, 590.0884076884511, 786.8807200543488, 590.7869382521142, 736.8419707185551, 600.1730820955443, 656.5386766762617, 1062.9046799644009, 763.6684607813528, 823.8984102898509, 1136.0214143217872, 636.8106886890425, 662.8777874037822, 370.95580793512255, 1020.6844255575284, 1158.3341042121424, 693.476693751144, 908.7531382684042, 1331.694927071952, 929.9192704230077, 496.0323465917227, 1614.4259498882798, 1090.5000000000055, 576.2744455978583, 1105.2710649006754, 660.3320883032239, 1360.2566518638403, 1086.5620827445623, 770.652089124867, 907.5315971781398, 489.4000000000054, 885.9000000000106, 679.4680251439985, 694.1444593489302, 949.9648263024453, 746.2141274164312, 950.1151215383898, 682.131296814121, 539.882853271782, 945.1935649567793, 1222.8000000000025, 827.9372032301192, 995.4670010991493, 1148.5784367450017, 837.0864747201588, 925.0034000912669, 619.9865357260112, 1259.0023117345663, 657.6558727212702, 975.4333381389924, 734.9628892385365, 1164.4693933814551, 796.1748836833941, 493.46850947097965, 666.826395621124, 707.2219846629131, 623.7189841589831, 891.8746958585232, 932.5649256509204, 918.5955246828755]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 390, 400, 400, 373, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.65957446808511,13395.5,704.5,127.8768115942029,19320.5,1034.5,0.0,3.4098922359182477,0.45000000000000007,0.0007392300400000003,2.8818829714829195,-0.045973837223723,2.9192489340795693,0.15738182579371945,0.019128590416665196,1.4555136235893196,0.0,0.0,9.654765670944528,1.0124999999999997,0.0007392300400000001,7.666860303095573,-0.04234080245765601,7.69381653652099,0.28262750189661406,0.01519464559826082,1.4704507555938573,0.0
