num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/prey_policy/num_agent_steps_trained,info/learner/prey_policy/num_grad_updates_lifetime,info/learner/prey_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/predator_policy/num_agent_steps_trained,info/learner/predator_policy/num_grad_updates_lifetime,info/learner/predator_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/prey_policy/learner_stats/allreduce_latency,info/learner/prey_policy/learner_stats/grad_gnorm,info/learner/prey_policy/learner_stats/cur_kl_coeff,info/learner/prey_policy/learner_stats/cur_lr,info/learner/prey_policy/learner_stats/total_loss,info/learner/prey_policy/learner_stats/policy_loss,info/learner/prey_policy/learner_stats/vf_loss,info/learner/prey_policy/learner_stats/vf_explained_var,info/learner/prey_policy/learner_stats/kl,info/learner/prey_policy/learner_stats/entropy,info/learner/prey_policy/learner_stats/entropy_coeff,info/learner/predator_policy/learner_stats/allreduce_latency,info/learner/predator_policy/learner_stats/grad_gnorm,info/learner/predator_policy/learner_stats/cur_kl_coeff,info/learner/predator_policy/learner_stats/cur_lr,info/learner/predator_policy/learner_stats/total_loss,info/learner/predator_policy/learner_stats/policy_loss,info/learner/predator_policy/learner_stats/vf_loss,info/learner/predator_policy/learner_stats/vf_explained_var,info/learner/predator_policy/learner_stats/kl,info/learner/predator_policy/learner_stats/entropy,info/learner/predator_policy/learner_stats/entropy_coeff
9,0,0,40000,40000,4000,4000,4000,4000,60.26875213813551,60.26875213813551,4000,4000,40000,4000,40000,False,1,f22a4_00000,2024-08-23_11-57-07,1724394427,66.4325361251831,66.4325361251831,8789,Joys-MacBook-Pro.local,127.0.0.1,66.4325361251831,1,4000,4000,40000,40000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,66369.395,0.02,66369.327,7183.001,59154.593,67.619,18.433,4000,4000,40000,40000,39.91368421052631,83.49473684210527,[],[],127.38853503184713,1178.0,1177.0,127.38853503184713,1178.0,1177.0,0.0,2.4810134475777863,0.2,0.00010000000000000003,7.617041546321472,-0.010723336349041724,7.625840663302476,0.06726282660368901,0.009621163084806435,1.6016016168958822,0.0,0.0,1.5376259007145139,0.2,0.00010000000000000003,6.604819301435143,-0.01084825471518146,6.613761464704121,0.04863765123290368,0.009530485225564577,1.6027657490120826,0.0
9,0,0,80000,80000,8000,8000,4000,4000,61.41016254717041,61.41016254717041,8000,8000,80000,4000,80000,False,2,f22a4_00000,2024-08-23_11-58-15,1724394495,65.1567018032074,131.5892379283905,8789,Joys-MacBook-Pro.local,127.0.0.1,131.5892379283905,2,8000,8000,80000,80000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,65752.607,0.019,65752.537,6202.353,59522.267,67.202,16.644,8000,8000,80000,80000,35.590624999999996,83.36874999999999,[],[],127.38853503184713,3533.0,1177.0,127.38853503184713,3533.0,1177.0,0.0,4.752005727199991,0.2,0.00010000000000000003,6.504993301845154,-0.017264957135472044,6.52016820867097,0.1970910734431759,0.010450256214726266,1.5850814444244288,0.0,0.0,2.752452613543047,0.2,0.00010000000000000003,5.11378740272198,-0.014689448499763405,5.126695415776247,0.1323576419976107,0.008907212053164602,1.5905155861706743,0.0
9,0,0,120000,120000,12000,12000,4000,4000,63.32507524893866,63.32507524893866,12000,12000,120000,4000,120000,False,3,f22a4_00000,2024-08-23_11-59-19,1724394559,63.21361494064331,194.8028528690338,8789,Joys-MacBook-Pro.local,127.0.0.1,194.8028528690338,3,12000,12000,120000,120000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,64890.451,0.017,64890.388,5317.159,59547.707,67.173,15.657,12000,12000,120000,120000,38.35222222222222,83.15222222222222,[],[],127.38853503184713,5888.0,1177.0,127.38853503184713,5888.0,1177.0,0.0,4.892574742063089,0.2,0.00010000000000000003,6.2584783831472866,-0.016856240911405303,6.2732128528019935,0.2536977071164773,0.010608912475165889,1.5677350476036154,0.0,0.0,2.6785914648616895,0.2,0.00010000000000000003,4.626021751071744,-0.0161353682436745,4.640437201785434,0.16910196294703556,0.008599566287042735,1.5764367999038373,0.0
9,0,0,160000,160000,16000,16000,4000,4000,63.960796489956586,63.960796489956586,16000,16000,160000,4000,160000,False,4,f22a4_00000,2024-08-23_12-00-21,1724394621,62.56131196022034,257.36416482925415,8789,Joys-MacBook-Pro.local,127.0.0.1,257.36416482925415,4,16000,16000,160000,160000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,64302.418,0.018,64302.354,4813.877,59463.302,67.268,14.754,16000,16000,160000,160000,37.27727272727273,83.06477272727273,[],[],127.38853503184713,8243.0,1177.0,127.38853503184713,8243.0,1177.0,0.0,6.763746076404669,0.2,0.00010000000000000003,6.31314786396715,-0.014815642684104905,6.325774407639878,0.29668243047791176,0.010945480547730679,1.5514007993058287,0.0,0.0,2.6664196858740157,0.2,0.00010000000000000003,4.393546295267255,-0.01651600335809677,4.407847998147305,0.15979641481063422,0.01107147364024935,1.5590828650063517,0.0
9,0,0,200000,200000,20000,20000,4000,4000,62.40033374766517,62.40033374766517,20000,20000,200000,4000,200000,False,5,f22a4_00000,2024-08-23_12-01-25,1724394685,64.16732811927795,321.5314929485321,8789,Joys-MacBook-Pro.local,127.0.0.1,321.5314929485321,5,20000,20000,200000,200000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,64262.381,0.018,64262.318,4452.45,59784.03,66.908,15.437,20000,20000,200000,200000,41.428888888888885,83.09222222222222,[],[],127.38853503184713,10598.0,1177.0,127.38853503184713,10598.0,1177.0,0.0,7.114773120039841,0.2,0.00010000000000000003,6.412889985977465,-0.016656936445291256,6.427177026671715,0.3376076005067036,0.011849405747618835,1.5301292026625064,0.0,0.0,3.3754774972891353,0.2,0.00010000000000000003,3.8402948211459345,-0.0157520809139653,3.854013322822101,0.20773293506314547,0.0101678634104922,1.5486959910949578,0.0
9,0,0,240000,240000,24000,24000,4000,4000,61.83223055051633,61.83223055051633,24000,24000,240000,4000,240000,False,6,f22a4_00000,2024-08-23_12-02-30,1724394750,64.74682402610779,386.2783169746399,8789,Joys-MacBook-Pro.local,127.0.0.1,386.2783169746399,6,24000,24000,240000,240000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,64333.85,0.018,64333.785,4565.063,59743.693,66.953,15.265,24000,24000,240000,240000,39.402173913043484,82.9804347826087,[],[],127.38853503184713,12953.0,1255.3037499999991,127.38853503184713,12953.0,1255.3037499999991,0.0,6.914859709137311,0.2,0.00010000000000000003,6.423389255620871,-0.01640496423553019,6.4375195242037435,0.3297089408917032,0.01137351804499904,1.5108654142691578,0.0,0.0,3.4514570551566512,0.2,0.00010000000000000003,3.683214656461323,-0.017187456920992134,3.698121369619025,0.1945089255928234,0.011403720057717745,1.5264103046141866,0.0
9,0,0,280000,280000,28000,28000,4000,4000,64.42482032841298,64.42482032841298,28000,28000,280000,4000,280000,False,7,f22a4_00000,2024-08-23_12-03-32,1724394812,62.09974408149719,448.3780610561371,8789,Joys-MacBook-Pro.local,127.0.0.1,448.3780610561371,7,28000,28000,280000,280000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,64012.997,0.018,64012.934,4324.496,59663.893,67.042,15.254,28000,28000,280000,280000,39.43333333333333,83.02643678160919,[],[],127.38853503184713,15308.0,1228.8099999999995,127.38853503184713,15308.0,1228.8099999999995,0.0,7.673050885494095,0.2,0.00010000000000000003,6.533375819827847,-0.013662547991668406,6.544924230231348,0.34210337947128683,0.010570724681810716,1.4884478218236548,0.0,0.0,4.422702925271036,0.2,0.00010000000000000003,4.183054492529284,-0.01346605998699231,4.194251932257553,0.2218263578263058,0.01134304644603227,1.5067876237213231,0.0
9,0,0,320000,320000,32000,32000,4000,4000,64.90543809113355,64.90543809113355,32000,32000,320000,4000,320000,False,8,f22a4_00000,2024-08-23_12-04-34,1724394874,61.64780902862549,510.0258700847626,8789,Joys-MacBook-Pro.local,127.0.0.1,510.0258700847626,8,32000,32000,320000,320000,1054.6393087599904,137.72995647162128,617.2888288244245,400.0,9200,0,23,1054.6393087599904,137.72995647162128,617.2888288244245,23,63714.888,0.018,63714.828,4156.09,59535.267,67.187,14.991,32000,32000,320000,320000,36.584090909090904,82.82272727272728,"[591.2168506753538, 529.0514032955576, 137.72995647162128, 552.504435831356, 326.4285279251311, 382.6165466937288, 825.7975865451159, 623.9758627280559, 754.6268196197298, 399.1365429706689, 408.2788001688282, 932.7830135622846, 476.32641546616105, 765.7499978907488, 594.378007358253, 1054.6393087599904, 477.87135857871397, 491.1532282510042, 814.9182502067479, 740.3402875639898, 919.428000315529, 848.511304329229, 550.1805577539645]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.38853503184713,17663.0,1177.0,127.38853503184713,17663.0,1177.0,0.0,7.5464928946930385,0.2,0.00010000000000000003,6.7461791032438825,-0.014037371141986324,6.758041017779372,0.40216982225450487,0.010877235200465706,1.4643634184657135,0.0,0.0,4.514267391257478,0.2,0.00010000000000000003,4.077794438056379,-0.01611366710673045,4.091335690856739,0.22368502141057559,0.012862088075579953,1.469484609403428,0.0
9,0,0,360000,360000,36000,36000,4000,4000,64.4380860189094,64.4380860189094,36000,36000,360000,4000,360000,False,9,f22a4_00000,2024-08-23_12-05-36,1724394936,62.08685064315796,572.1127207279205,8789,Joys-MacBook-Pro.local,127.0.0.1,572.1127207279205,9,36000,36000,360000,360000,1145.1142307988666,137.72995647162128,656.6027666470269,400.0,24400,0,38,1145.1142307988666,137.72995647162128,656.6027666470269,38,63532.689,0.017,63532.631,4026.118,59483.646,67.245,14.881,36000,36000,360000,360000,36.02183908045977,82.64942528735634,"[591.2168506753538, 529.0514032955576, 137.72995647162128, 552.504435831356, 326.4285279251311, 382.6165466937288, 825.7975865451159, 623.9758627280559, 754.6268196197298, 399.1365429706689, 408.2788001688282, 932.7830135622846, 476.32641546616105, 765.7499978907488, 594.378007358253, 1054.6393087599904, 477.87135857871397, 491.1532282510042, 814.9182502067479, 740.3402875639898, 919.428000315529, 848.511304329229, 550.1805577539645, 1145.1142307988666, 489.5695746436087, 529.4202499851757, 806.728701382196, 478.60183147251945, 571.9005512879293, 815.2589919840061, 572.9385713771817, 336.1777584327827, 712.7949106834344, 703.9879816863713, 749.0620432324044, 342.1404855189573, 702.782207915235, 508.32918948749705, 636.1716202522084, 442.5827066496895, 728.4782972549624, 590.310955491968, 955.3584370087686, 1046.4776322828934, 539.616117321688, 688.8407899544212, 1109.5339661963985, 791.8119993214768, 554.9521558146483, 862.2907222878616, 540.5264572023949, 736.1324201144552, 183.11460538357682, 709.998081494795, 707.4580011235181, 508.7286988080799, 1092.767526875202, 683.7659530918162, 916.1406986465197, 636.1916487208766, 729.0689313204872]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.38853503184713,20018.0,1177.0,127.38853503184713,20018.0,1177.0,0.0,8.5755353530248,0.2,0.00010000000000000003,6.967766552821846,-0.01566257030137611,6.980825758284064,0.4009490266473936,0.013016846146426637,1.4008969477534041,0.0,0.0,4.720858792691727,0.2,0.00010000000000000003,4.9023830342950845,-0.01838265493939257,4.917672820708807,0.2323602071486714,0.015464356347657502,1.3960501830289318,0.0
9,0,0,400000,400000,40000,40000,4000,4000,64.34576348586823,64.34576348586823,40000,40000,400000,4000,400000,False,10,f22a4_00000,2024-08-23_12-06-38,1724394998,62.21190309524536,634.3246238231659,8789,Joys-MacBook-Pro.local,127.0.0.1,634.3246238231659,10,40000,40000,400000,400000,1145.1142307988666,137.72995647162128,660.5840342575515,400.0,36000,0,29,1145.1142307988666,137.72995647162128,660.5840342575515,29,63395.837,0.017,63395.78,3959.957,59413.131,67.325,14.961,40000,40000,400000,400000,36.621590909090905,82.66704545454544,"[591.2168506753538, 529.0514032955576, 137.72995647162128, 552.504435831356, 326.4285279251311, 382.6165466937288, 825.7975865451159, 623.9758627280559, 754.6268196197298, 399.1365429706689, 408.2788001688282, 932.7830135622846, 476.32641546616105, 765.7499978907488, 594.378007358253, 1054.6393087599904, 477.87135857871397, 491.1532282510042, 814.9182502067479, 740.3402875639898, 919.428000315529, 848.511304329229, 550.1805577539645, 1145.1142307988666, 489.5695746436087, 529.4202499851757, 806.728701382196, 478.60183147251945, 571.9005512879293, 815.2589919840061, 572.9385713771817, 336.1777584327827, 712.7949106834344, 703.9879816863713, 749.0620432324044, 342.1404855189573, 702.782207915235, 508.32918948749705, 636.1716202522084, 442.5827066496895, 728.4782972549624, 590.310955491968, 955.3584370087686, 1046.4776322828934, 539.616117321688, 688.8407899544212, 1109.5339661963985, 791.8119993214768, 554.9521558146483, 862.2907222878616, 540.5264572023949, 736.1324201144552, 183.11460538357682, 709.998081494795, 707.4580011235181, 508.7286988080799, 1092.767526875202, 683.7659530918162, 916.1406986465197, 636.1916487208766, 729.0689313204872, 379.87338814786193, 715.2669021198562, 816.7491903441756, 735.5566146984573, 693.790637864387, 958.1335468197195, 1054.5638853636297, 390.0171200728316, 321.8056063981451, 300.6557916921464, 722.183403264593, 755.8128180914606, 1053.7260802245285, 577.9764258118502, 435.5100427608379, 503.52751637345006, 706.4119812877273, 730.505649842313, 1132.4554064901722, 571.1426202834836, 660.806847383517, 525.9901362409665, 711.9093120108652, 740.3479627832974, 620.7460326288012, 452.8644574967458, 1113.0468871568223, 562.2638855607117, 456.15416849763847]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.38853503184713,22373.0,1177.0,127.38853503184713,22373.0,1177.0,0.0,7.434032803179099,0.2,0.00010000000000000003,7.288492264109812,-0.01671362982898745,7.302746119570074,0.3953786779108068,0.012298854233424186,1.3373671193031749,0.0,0.0,5.647476552803298,0.2,0.00010000000000000003,5.939401923420576,-0.01931800356593513,5.9553608280837915,0.2101551785337444,0.016795508120794268,1.314136417200611,0.0
