num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/prey_policy/num_agent_steps_trained,info/learner/prey_policy/num_grad_updates_lifetime,info/learner/prey_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/predator_policy/num_agent_steps_trained,info/learner/predator_policy/num_grad_updates_lifetime,info/learner/predator_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/prey_policy/learner_stats/allreduce_latency,info/learner/prey_policy/learner_stats/grad_gnorm,info/learner/prey_policy/learner_stats/cur_kl_coeff,info/learner/prey_policy/learner_stats/cur_lr,info/learner/prey_policy/learner_stats/total_loss,info/learner/prey_policy/learner_stats/policy_loss,info/learner/prey_policy/learner_stats/vf_loss,info/learner/prey_policy/learner_stats/vf_explained_var,info/learner/prey_policy/learner_stats/kl,info/learner/prey_policy/learner_stats/entropy,info/learner/prey_policy/learner_stats/entropy_coeff,info/learner/predator_policy/learner_stats/allreduce_latency,info/learner/predator_policy/learner_stats/grad_gnorm,info/learner/predator_policy/learner_stats/cur_kl_coeff,info/learner/predator_policy/learner_stats/cur_lr,info/learner/predator_policy/learner_stats/total_loss,info/learner/predator_policy/learner_stats/policy_loss,info/learner/predator_policy/learner_stats/vf_loss,info/learner/predator_policy/learner_stats/vf_explained_var,info/learner/predator_policy/learner_stats/kl,info/learner/predator_policy/learner_stats/entropy,info/learner/predator_policy/learner_stats/entropy_coeff
9,0,0,39135,39135,4000,4000,4000,4000,61.390455758932234,61.390455758932234,4000,4000,39135,4000,39135,False,1,38572_00000,2024-08-24_09-13-48,1724471028,65.20042276382446,65.20042276382446,35834,Joys-MacBook-Pro.local,127.0.0.1,65.20042276382446,1,4000,4000,39135,39135,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,65156.717,0.017,65156.659,7621.062,57504.373,69.56,12.976,4000,4000,39135,39135,42.59247311827957,83.48602150537634,[],[],127.56666666666666,1125.5,1124.5,127.38853503184713,1178.0,1177.0,0.0,1.3943864212963317,0.19999999999999998,0.00010000000000000002,5.488569889280531,-0.00821893295376665,5.495606116188897,0.020948274029625787,0.005913503325544298,1.605652967400021,0.0,0.0,1.1990208506773992,0.2,0.00010000000000000003,3.595310568252693,-0.006237458045279999,3.6006915226104153,0.05286980211861321,0.00428248005578069,1.6064381967431167,0.0
9,0,0,76759,76759,8000,8000,4000,4000,63.93802710916867,63.93802710916867,8000,8000,76759,4000,76759,False,2,38572_00000,2024-08-24_09-14-54,1724471094,62.588603019714355,127.78902578353882,35834,Joys-MacBook-Pro.local,127.0.0.1,127.78902578353882,2,8000,8000,76759,76759,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,63858.687,0.096,63858.463,6372.143,57455.65,69.619,14.674,8000,8000,76759,76759,38.967741935483865,83.45698924731182,[],[],127.71014492753623,3285.5,1034.5,127.38853503184713,3533.0,1177.0,0.0,2.236551493132748,0.20000000000000004,0.00010000000000000003,5.647891713340501,-0.014896125470373582,5.660952532809714,0.07032539211033623,0.009176594899024742,1.5930740578738964,0.0,0.0,1.8704575158987835,0.1,0.00010000000000000003,3.0671252595391243,-0.010265590960551409,3.0765898572917703,0.11303306106802258,0.00800986021674078,1.599474173341334,0.0
9,0,0,113338,113338,12000,12000,4000,4000,69.06020114318045,69.06020114318045,12000,12000,113338,4000,113338,False,3,38572_00000,2024-08-24_09-15-52,1724471152,57.96315312385559,185.7521789073944,35834,Joys-MacBook-Pro.local,127.0.0.1,185.7521789073944,3,12000,12000,113338,113338,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,61879.287,0.068,61879.118,5437.887,56412.9,70.906,14.728,12000,12000,113338,113338,31.84567901234568,83.24691358024691,[],[],127.53076923076924,5295.5,974.5,127.38853503184713,5888.0,1177.0,0.0,3.0184985989485034,0.20000000000000004,0.00010000000000000003,5.924063479839227,-0.015738750595885975,5.937694341708452,0.16772969676898075,0.010539500174435,1.5765419105994396,0.0,0.0,2.49303049856437,0.1,0.00010000000000000003,2.8186290474707407,-0.008720404054918139,2.8267376108534017,0.14518231166143072,0.006118347580078001,1.5941356181592192,0.0
9,0,0,149452,149452,16000,16000,4000,4000,70.13492277135367,70.13492277135367,16000,16000,149452,4000,149452,False,4,38572_00000,2024-08-24_09-16-49,1724471209,57.0692138671875,242.8213927745819,35834,Joys-MacBook-Pro.local,127.0.0.1,242.8213927745819,4,16000,16000,149452,149452,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60667.7,0.055,60667.554,4865.941,55773.674,71.718,14.646,16000,16000,149452,149452,33.34197530864198,82.94444444444444,[],[],127.88888888888889,7215.5,963.4990070745935,127.38853503184713,8243.0,1202.9049999999995,0.0,3.7081198444442145,0.2,0.00010000000000000003,6.016567616487937,-0.014762681654886043,6.029321249956807,0.21571321178365638,0.010045324642058442,1.566550972095873,0.0,0.0,2.273682917126172,0.1,0.00010000000000000003,2.793755109041866,-0.012618170217502143,2.80556240390567,0.14324004559000586,0.008108728173368803,1.5856622976861943,0.0
9,0,0,185160,185160,20000,20000,4000,4000,69.40929056443379,69.40929056443379,20000,20000,185160,4000,185160,False,5,38572_00000,2024-08-24_09-17-47,1724471267,57.67238712310791,300.4937798976898,35834,Joys-MacBook-Pro.local,127.0.0.1,300.4937798976898,5,20000,20000,185160,185160,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,60059.996,0.047,60059.87,4781.954,55252.342,72.395,13.798,20000,20000,185160,185160,32.872839506172845,82.97777777777777,[],[],127.70731707317073,9083.0,943.176470588235,127.38853503184713,10598.0,1202.9050000000007,0.0,4.42007481108513,0.20000000000000004,0.00010000000000000003,6.614213539785163,-0.012536733179179027,6.624814345972325,0.24536562408535137,0.009679670675296771,1.5545912168859466,0.0,0.0,2.226672556825504,0.1,0.00010000000000000003,2.464121156386762,-0.00999681313498432,2.473238931340017,0.14632527957296676,0.008790382320029688,1.5786633296124242,0.0
9,0,0,220417,220417,24000,24000,4000,4000,71.95345624708487,71.95345624708487,24000,24000,220417,4000,220417,False,6,38572_00000,2024-08-24_09-18-43,1724471323,55.62768888473511,356.1214687824249,35834,Joys-MacBook-Pro.local,127.0.0.1,356.1214687824249,6,24000,24000,220417,220417,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,59315.246,0.041,59315.135,4544.748,54745.568,73.065,14.052,24000,24000,220417,220417,32.20253164556963,83.21265822784811,[],[],127.14166666666667,10905.5,966.4941666120467,127.38853503184713,12953.0,1255.8925000000002,0.0,5.247901527384917,0.2,0.00010000000000000003,6.740086007648044,-0.014962667005084869,6.752702891031901,0.25900280396143593,0.011728959853321107,1.536986651884185,0.0,0.0,2.9389107198725335,0.1,0.00010000000000000003,2.8386405258927883,-0.013666799225134581,2.851221323975079,0.18019875432275662,0.010859923763002908,1.564432090356345,0.0
9,0,0,255137,255137,28000,28000,4000,4000,71.49654703440173,71.49654703440173,28000,28000,255137,4000,255137,False,7,38572_00000,2024-08-24_09-19-39,1724471379,55.96501708030701,412.08648586273193,35834,Joys-MacBook-Pro.local,127.0.0.1,412.08648586273193,7,28000,28000,255137,255137,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,58834.035,0.037,58833.933,4585.285,54223.655,73.769,13.822,28000,28000,255137,255137,32.486075949367084,82.71392405063291,[],[],128.0,12668.0,862.0,127.38853503184713,15308.0,1177.0,0.0,5.9422526235165805,0.2,0.00010000000000000005,7.301402829211691,-0.015099453184537698,7.313915773474652,0.28553355265354763,0.012932626259229753,1.5128422490410183,0.0,0.0,3.5015808961953327,0.1,0.00010000000000000003,3.356342557838262,-0.011903666153811155,3.367037162051839,0.1769942368924491,0.012090624849195345,1.551611218229727,0.0
9,0,0,289456,289456,32000,32000,4000,4000,75.06543969280308,75.06543969280308,32000,32000,289456,4000,289456,False,8,38572_00000,2024-08-24_09-20-32,1724471432,53.33179688453674,465.4182827472687,35834,Joys-MacBook-Pro.local,127.0.0.1,465.4182827472687,8,32000,32000,289456,289456,1038.3712796311277,175.60936051839232,617.8104023510904,400.0,7600,0,19,1038.3712796311277,175.60936051839232,617.8104023510904,19,58140.636,0.035,58140.538,4374.995,53740.844,74.431,14.104,32000,32000,289456,289456,29.796000000000003,83.09466666666665,"[512.5598477970597, 175.60936051839232, 452.07059081480844, 702.3154754800065, 1004.3073856225935, 461.2068446911774, 687.7125270712602, 683.7421197155752, 673.7295213352808, 1038.3712796311277, 643.3360529350101, 843.3067086119488, 731.4087357242984, 443.0799318474785, 495.58343054779726, 680.1695676035259, 413.8154962101005, 501.8702580009324, 594.202510512344]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.84821428571429,14370.5,839.5,127.38853503184713,17663.0,1177.0,0.0,6.17447630656617,0.2,0.00010000000000000002,7.416491561844236,-0.016345461002839286,7.430431051481338,0.28189985202181905,0.012030040012628194,1.4923409095122702,0.0,0.0,3.6028063342323224,0.1,0.00010000000000000003,3.6587772462524932,-0.012938464574333905,3.670501996099063,0.1978383463406006,0.01213707962506421,1.5388048074301135,0.0
9,0,0,324972,324972,36000,36000,4000,4000,71.74604906069115,71.74604906069115,36000,36000,324972,4000,324972,False,9,38572_00000,2024-08-24_09-21-28,1724471488,55.827592849731445,521.2458755970001,35834,Joys-MacBook-Pro.local,127.0.0.1,521.2458755970001,9,36000,36000,324972,324972,1179.908523129027,175.60936051839232,646.5853607685289,400.0,26400,0,47,1179.908523129027,175.60936051839232,646.5853607685289,47,57875.255,0.032,57875.162,4228.558,53622.477,74.596,14.105,36000,36000,324972,324972,30.86455696202532,83.10253164556963,"[512.5598477970597, 175.60936051839232, 452.07059081480844, 702.3154754800065, 1004.3073856225935, 461.2068446911774, 687.7125270712602, 683.7421197155752, 673.7295213352808, 1038.3712796311277, 643.3360529350101, 843.3067086119488, 731.4087357242984, 443.0799318474785, 495.58343054779726, 680.1695676035259, 413.8154962101005, 501.8702580009324, 594.202510512344, 1057.912435057543, 346.2937968203409, 522.9633106660509, 451.6763611987133, 333.105694526336, 664.6468038217481, 545.042263425257, 442.7673953080747, 932.9885095502276, 473.9779210676488, 708.7205207366462, 371.2297109984361, 581.4855759793406, 661.4961769747312, 1053.1724654047905, 424.462180490566, 799.4528593577228, 1006.0944653624969, 901.5539754932129, 933.2165346154534, 1179.908523129027, 1173.2239817418651, 374.6999999999982, 758.3752905711234, 697.9762461865502, 464.9719371147031, 628.8806407173377, 473.05976414102787, 619.290037691115, 858.1598739352876, 381.38652858418135, 870.2008510839615, 300.73660333292344, 441.5910540442161, 793.6346085331538, 726.0854466368376, 1037.8203912025567, 983.6957482101615, 649.913285621202, 372.79308984865946, 587.5109681328535, 502.55638546489547, 468.1871408839368, 535.6512058864803, 691.6929037729117, 396.4715996395519, 755.5031030903293]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.18032786885246,16125.5,914.5,127.38853503184713,20018.0,1177.0,0.0,6.576694954939879,0.20000000000000004,0.00010000000000000003,7.356842511078048,-0.01507330657736159,7.369163452210974,0.2340470394475864,0.01376185272743956,1.468068311904949,0.0,0.0,4.360892278069903,0.1,0.00010000000000000003,3.9607062149452807,-0.010968990484746905,3.9705027854619765,0.21581008479853345,0.011724209800489136,1.5152219577453192,0.0
9,0,0,362182,362182,40000,40000,4000,4000,69.11199899111045,69.11199899111045,40000,40000,362182,4000,362182,False,10,38572_00000,2024-08-24_09-22-26,1724471546,57.92792987823486,579.173805475235,35834,Joys-MacBook-Pro.local,127.0.0.1,579.173805475235,10,40000,40000,362182,362182,1179.908523129027,175.60936051839232,652.5015877371025,400.0,36000,0,24,1179.908523129027,175.60936051839232,652.5015877371025,24,57875.437,0.031,57875.348,4118.013,53733.182,74.442,14.301,40000,40000,362182,362182,29.658536585365855,82.9939024390244,"[512.5598477970597, 175.60936051839232, 452.07059081480844, 702.3154754800065, 1004.3073856225935, 461.2068446911774, 687.7125270712602, 683.7421197155752, 673.7295213352808, 1038.3712796311277, 643.3360529350101, 843.3067086119488, 731.4087357242984, 443.0799318474785, 495.58343054779726, 680.1695676035259, 413.8154962101005, 501.8702580009324, 594.202510512344, 1057.912435057543, 346.2937968203409, 522.9633106660509, 451.6763611987133, 333.105694526336, 664.6468038217481, 545.042263425257, 442.7673953080747, 932.9885095502276, 473.9779210676488, 708.7205207366462, 371.2297109984361, 581.4855759793406, 661.4961769747312, 1053.1724654047905, 424.462180490566, 799.4528593577228, 1006.0944653624969, 901.5539754932129, 933.2165346154534, 1179.908523129027, 1173.2239817418651, 374.6999999999982, 758.3752905711234, 697.9762461865502, 464.9719371147031, 628.8806407173377, 473.05976414102787, 619.290037691115, 858.1598739352876, 381.38652858418135, 870.2008510839615, 300.73660333292344, 441.5910540442161, 793.6346085331538, 726.0854466368376, 1037.8203912025567, 983.6957482101615, 649.913285621202, 372.79308984865946, 587.5109681328535, 502.55638546489547, 468.1871408839368, 535.6512058864803, 691.6929037729117, 396.4715996395519, 755.5031030903293, 614.3246557548896, 715.512146263136, 1004.8931865015783, 791.3990313778526, 541.8431621112835, 893.5094009510431, 881.8073898345755, 610.1080306061352, 651.6287564247116, 385.22151858321763, 752.8272371644455, 757.1027355468409, 727.1151268428321, 362.3343326513438, 538.9867419006699, 949.46466513036, 685.9463557824411, 647.9655378118714, 519.9949082433812, 869.8330510858306, 265.47620178207194, 687.3821798455789, 551.0426174124866, 644.7901160077466]","[400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400, 400]",127.48148148148148,18053.0,1012.0,127.38853503184713,22373.0,1177.0,0.0,6.343824831468088,0.20000000000000004,0.00010000000000000003,6.690709843812165,-0.010202786194614745,6.698756695264652,0.2628303901060128,0.010779689304231678,1.4642723393145902,0.0,0.0,4.5538927290849625,0.1,0.00010000000000000003,4.1024269539332945,-0.01210746365538037,4.1134955565134685,0.22490892668438564,0.010388758864783684,1.4976813786095622,0.0
